date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,71.68,0.23,0,0.28,0.01,0.02,0.13,0.0,0.44,0,-0.04,0,71.01,0.0,0.11,0.0,71.13,0,-2431.94,0,0.0
Feb 2016,241.9,0.77,0,0.91,0.01,0.02,0.13,0.0,1.5,0,-0.14,0,239.63,0.01,0.11,0.0,239.75,0,-2431.66,0,0.28000000000020003
Mar 2016,243.68,0.77,0,0.92,0.01,0.02,0.13,0.0,1.51,0,-0.14,0,241.4,0.01,0.11,0.0,241.52,0,-2430.43,0,1.23000000000002
Apr 2016,101.88,0.32,0,0.39,0.01,0.02,0.32,0.06,0.63,0,-0.06,0,100.92,0.01,0.25,0.07,101.25,0,-2429.18,0,1.25
May 2016,723.06,2.29,0,2.6,0.09,0.02,3.89,1.11,4.48,0,-0.41,0,716.28,0.04,2.84,3.1,722.26,0,-2428.94,0,0.239999999999782
Jun 2016,130.02,0.41,0,0.18,0.32,0.02,14.31,4.2,0.81,0,-0.07,0,128.8,0.01,10.41,3.97,143.19,0,-2430.75,0,-1.8099999999999499
Jul 2016,727.37,2.31,0,2.53,0.18,0.02,7.91,2.3,4.5,0,-0.41,0,720.55,0.04,5.76,4.11,730.47,0,-2444.1,0,-13.3499999999999
Aug 2016,456.35,1.45,0,1.51,0.2,0.02,8.87,2.59,2.83,0,-0.26,0,452.07,0.02,6.46,3.36,461.92,0,-2449.73,0,-5.630000000000111
Sep 2016,274.91,0.87,0,0.83,0.21,0.02,9.34,2.72,1.7,0,-0.15,0,272.33,0.01,6.8,2.85,282.0,0,-2456.8,0,-7.07000000000016
Oct 2016,325.59,1.03,0,1.21,0.01,0.02,0.48,0.1,2.02,0,-0.18,0,322.54,0.02,0.36,0.31,323.24,0,-2464.72,0,-7.91999999999962
Nov 2016,173.2,0.55,0,0.66,0.01,0.02,0.13,0.0,1.07,0,-0.1,0,171.58,0.01,0.11,0.0,171.7,0,-2463.58,0,1.13999999999987
Dec 2016,51.96,0.16,0,0.21,0.01,0.02,0.13,0.0,0.32,0,-0.03,0,51.47,0.0,0.11,0.0,51.58,0,-2462.73,0,0.849999999999909
Jan 2017,35.86,0.11,0,0.15,0.01,0.02,0.13,0.0,0.22,0,-0.02,0,35.52,0.0,0.11,0.0,35.63,0,-2462.56,0,0.170000000000073
Feb 2017,217.06,0.69,0,0.82,0.01,0.02,0.13,0.0,1.34,0,-0.12,0,215.03,0.01,0.11,0.0,215.15,0,-2462.49,0,0.0700000000001637
Mar 2017,255.26,0.81,0,0.96,0.01,0.02,0.13,0.0,1.58,0,-0.14,0,252.87,0.01,0.11,0.0,252.99,0,-2461.4,0,1.0899999999996899
Apr 2017,653.81,2.08,0,2.43,0.01,0.02,0.13,0.0,4.05,0,-0.37,0,647.68,0.03,0.11,0.01,647.84,0,-2460.09,0,1.3099999999999499
May 2017,808.35,2.57,0,2.93,0.07,0.02,3.12,0.88,5.01,0,-0.46,0,800.78,0.04,2.28,3.11,806.21,0,-2456.55,0,3.53999999999996
Jun 2017,332.18,1.05,0,0.98,0.26,0.02,11.79,3.45,2.06,0,-0.19,0,329.07,0.02,8.58,4.05,341.72,0,-2457.34,0,-0.7899999999999641
Jul 2017,439.14,1.39,0,1.39,0.25,0.02,11.25,3.29,2.72,0,-0.25,0,435.03,0.02,8.19,4.17,447.41,0,-2467.86,0,-10.52
Aug 2017,548.09,1.74,0,1.85,0.19,0.02,8.56,2.49,3.39,0,-0.31,0,542.96,0.03,6.23,3.64,552.86,0,-2477.52,0,-9.65999999999985
Sep 2017,599.93,1.9,0,2.12,0.12,0.02,5.12,1.48,3.72,0,-0.34,0,594.31,0.03,3.73,2.8,600.88,0,-2484.13,0,-6.61000000000013
Oct 2017,162.57,0.52,0,0.56,0.06,0.02,2.64,0.74,1.01,0,-0.09,0,161.05,0.01,1.94,0.76,163.76,0,-2487.19,0,-3.05999999999995
Nov 2017,87.73,0.28,0,0.34,0.01,0.02,0.13,0.0,0.54,0,-0.05,0,86.91,0.0,0.11,0.0,87.03,0,-2488.94,0,-1.75
Dec 2017,57.97,0.18,0,0.23,0.01,0.02,0.13,0.0,0.36,0,-0.03,0,57.43,0.0,0.11,0.0,57.54,0,-2488.58,0,0.36000000000012705
Jan 2018,70.31,0.22,0,0.28,0.01,0.02,0.13,0.0,0.44,0,-0.04,0,69.65,0.0,0.11,0.0,69.76,0,-2488.38,0,0.199999999999818
Feb 2018,82.79,0.26,0,0.32,0.01,0.02,0.13,0.0,0.51,0,-0.05,0,82.02,0.0,0.11,0.0,82.13,0,-2488.11,0,0.26999999999998203
Mar 2018,113.21,0.36,0,0.44,0.01,0.02,0.13,0.0,0.7,0,-0.06,0,112.14,0.01,0.11,0.0,112.26,0,-2487.77,0,0.340000000000146
Apr 2018,434.35,1.38,0,1.62,0.01,0.02,0.26,0.04,2.69,0,-0.24,0,430.29,0.02,0.2,0.34,430.85,0,-2487.26,0,0.509999999999764
May 2018,144.1,0.46,0,0.28,0.27,0.02,12.16,3.56,0.89,0,-0.08,0,142.75,0.01,8.85,3.55,155.16,0,-2485.38,0,1.88000000000011
Jun 2018,338.99,1.08,0,1.0,0.27,0.02,12.01,3.51,2.1,0,-0.19,0,335.82,0.02,8.74,4.16,348.73,0,-2496.72,0,-11.3399999999997
Jul 2018,630.54,2.0,0,2.15,0.19,0.02,8.6,2.51,3.91,0,-0.36,0,624.63,0.03,6.27,4.03,634.96,0,-2507.47,0,-10.75
Aug 2018,595.57,1.89,0,2.04,0.18,0.02,7.98,2.32,3.69,0,-0.34,0,589.99,0.03,5.81,3.63,599.47,0,-2514.04,0,-6.57000000000016
Sep 2018,310.77,0.99,0,0.98,0.19,0.02,8.34,2.43,1.92,0,-0.17,0,307.86,0.02,6.07,2.68,316.62,0,-2519.98,0,-5.94000000000005
Oct 2018,368.29,1.17,0,1.32,0.07,0.02,2.83,0.8,2.28,0,-0.21,0,364.84,0.02,2.07,1.3,368.23,0,-2526.82,0,-6.84000000000015
Nov 2018,81.35,0.26,0,0.32,0.01,0.02,0.13,0.0,0.5,0,-0.05,0,80.59,0.0,0.11,0.0,80.71,0,-2528.08,0,-1.25999999999976
Dec 2018,129.03,0.41,0,0.49,0.01,0.02,0.13,0.0,0.8,0,-0.07,0,127.82,0.01,0.11,0.0,127.94,0,-2527.75,0,0.32999999999992696
Jan 2019,36.36,0.12,0,0.15,0.01,0.02,0.13,0.0,0.23,0,-0.02,0,36.02,0.0,0.11,0.0,36.13,0,-2527.15,0,0.5999999999999089
Feb 2019,255.9,0.81,0,0.96,0.01,0.02,0.13,0.0,1.58,0,-0.14,0,253.51,0.01,0.11,0.0,253.63,0,-2527.07,0,0.0799999999999272
Mar 2019,21.0,0.07,0,0.1,0.01,0.02,0.13,0.0,0.13,0,-0.01,0,20.81,0.0,0.11,0.0,20.92,0,-2525.76,0,1.3099999999999499
Apr 2019,297.19,0.94,0,1.11,0.01,0.02,0.13,0.0,1.84,0,-0.17,0,294.41,0.02,0.11,0.0,294.53,0,-2525.77,0,-0.00999999999976353
May 2019,393.58,1.25,0,1.29,0.18,0.02,8.22,2.39,2.44,0,-0.22,0,389.89,0.02,5.99,3.32,399.22,0,-2524.22,0,1.55000000000018
Jun 2019,276.42,0.88,0,0.75,0.29,0.02,13.03,3.82,1.71,0,-0.16,0,273.83,0.01,9.48,4.24,287.57,0,-2531.16,0,-6.94000000000005
Jul 2019,203.66,0.65,0,0.45,0.33,0.02,14.58,4.28,1.26,0,-0.11,0,201.75,0.01,10.61,4.26,216.63,0,-2543.05,0,-11.8900000000003
Aug 2019,653.05,2.07,0,2.26,0.17,0.02,7.41,2.16,4.04,0,-0.37,0,646.93,0.03,5.4,3.64,656.01,0,-2556.48,0,-13.429999999999799
Sep 2019,49.09,0.16,0,0.02,0.18,0.02,12.91,3.73,0.3,0,-0.03,0,48.63,0.0,9.34,3.01,60.98,0,-2561.7,0,-5.2199999999998
Oct 2019,295.69,0.94,0,1.06,0.05,0.02,2.33,0.65,1.83,0,-0.17,0,292.92,0.02,1.71,0.95,295.6,0,-2573.62,0,-11.9200000000001
