date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,210.12,7.1,2.15,13.4,0.32,0.15,1.11,0.44,6.05,0,-4.66,0,196.96,0.35,0.84,0.0,198.15,0,-264.9,0,0.0
Feb 2016,6.26,0.21,0.16,0.52,0.32,0.15,1.11,0.44,0.18,0,-0.34,0,5.87,0.03,0.84,0.0,6.73,0,-264.18,0,0.7199999999999699
Mar 2016,96.1,3.25,1.28,6.94,0.32,0.15,1.11,0.44,2.77,0,-2.78,0,90.08,0.21,0.84,0.0,91.13,0,-265.01,0,-0.8299999999999841
Apr 2016,11.15,0.38,0.13,0.67,0.77,0.67,1.36,0.38,0.32,0,-0.29,0,10.45,0.02,1.08,1.06,12.61,0,-265.7,0,-0.689999999999998
May 2016,39.89,1.35,0.56,2.13,3.04,2.13,1.57,0.91,1.15,0,-1.22,0,37.39,0.09,1.57,1.94,40.99,0,-267.7,0,-2.0
Jun 2016,38.13,1.29,0.24,1.58,2.02,1.58,1.68,0.64,1.1,0,-0.52,0,35.75,0.04,1.48,2.4,39.66,0,-270.37,0,-2.67000000000002
Jul 2016,850.59,28.74,7.74,51.35,1.87,1.27,1.36,0.71,24.5,0,-16.73,0,797.34,1.26,1.25,2.2,802.05,0,-273.23,0,-2.8600000000000096
Aug 2016,636.86,21.52,6.2,39.47,2.08,1.42,1.39,0.75,18.34,0,-13.41,0,596.99,1.01,1.3,1.99,601.29,0,-268.3,0,4.9300000000000095
Sep 2016,920.62,31.11,8.16,55.26,0.98,0.63,1.22,0.56,26.52,0,-17.66,0,863.0,1.33,1.01,1.59,866.92,0,-266.0,0,2.30000000000001
Oct 2016,295.7,9.99,3.0,18.52,1.37,0.91,1.28,0.62,8.52,0,-6.48,0,277.19,0.49,1.11,0.86,279.65,0,-259.4,0,6.600000000000019
Nov 2016,524.9,17.74,5.32,33.54,0.32,0.16,1.11,0.44,15.12,0,-11.51,0,492.04,0.87,0.84,0.0,493.75,0,-258.88,0,0.519999999999982
