date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,166.36,6.67,53.96,158.7,5.54,109.08,0.18,0.03,7.14,0,5.2,0,152.55,0.29,4.53,0.0,157.37,1396.75,9804.43,0.0,0.0
Feb 2016,109.08,4.37,55.34,77.55,5.54,29.0,0.18,0.03,4.68,0,5.33,0,100.02,0.3,4.53,0.0,104.85,1288.82,9816.62,-107.93,12.1900000000005
Mar 2016,200.65,8.05,104.38,100.08,5.54,3.8,0.18,0.03,8.62,0,10.05,0,183.98,0.56,4.53,0.0,189.08,1260.98,9826.49,-27.8399999999999,9.869999999998981
Apr 2016,46.09,1.85,194.94,138.04,40.7,1.78,0.18,0.03,1.98,0,18.77,0,42.26,1.05,5.35,2.79,51.45,1258.34,9845.0,-2.6400000000001,18.5100000000002
May 2016,8.08,0.32,482.24,346.06,100.54,13.06,0.18,0.03,0.35,0,46.43,0,7.41,2.59,20.27,13.54,43.81,1292.07,9862.81,33.73,17.809999999999498
Jun 2016,73.29,2.94,666.81,511.67,110.8,20.51,0.18,0.03,3.15,0,64.21,0,67.2,3.58,30.11,16.28,117.18,1359.42,9895.9,67.35000000000011,33.0900000000001
Jul 2016,289.65,11.62,159.05,111.07,68.6,25.17,0.18,0.03,12.44,0,15.31,0,265.6,0.85,36.28,17.35,320.08,1419.75,9946.82,60.32999999999989,50.92000000000011
Aug 2016,331.94,13.31,80.75,86.52,48.22,48.89,0.18,0.03,14.25,0,7.78,0,304.38,0.43,28.83,14.34,347.99,1427.05,9957.07,7.29999999999995,10.25
Sep 2016,467.96,18.77,53.66,73.47,27.74,34.24,0.18,0.03,20.09,0,5.17,0,429.1,0.29,17.17,10.75,457.31,1397.7,9964.6,-29.3499999999999,7.530000000000651
Oct 2016,448.14,17.97,38.54,59.87,5.57,12.84,0.18,0.03,19.24,0,3.71,0,410.93,0.21,4.55,2.46,418.14,1374.18,9978.96,-23.52,14.3599999999988
Nov 2016,250.92,10.06,49.21,59.0,5.54,10.27,0.18,0.03,10.77,0,4.74,0,230.09,0.26,4.53,0.0,234.89,1362.51,9999.3,-11.6700000000001,20.340000000000103
Dec 2016,333.92,13.39,38.73,103.86,5.55,61.22,0.18,0.03,14.34,0,3.73,0,306.19,0.21,4.53,0.0,310.93,1353.41,10014.67,-9.09999999999991,15.3700000000008
Jan 2017,320.06,12.84,39.03,48.04,5.55,5.68,0.18,0.03,13.74,0,3.76,0,293.48,0.21,4.54,0.0,298.23,1293.35,10032.58,-60.0600000000002,17.909999999999897
Feb 2017,166.29,6.67,42.19,68.03,5.55,29.0,0.18,0.03,7.14,0,4.06,0,152.48,0.23,4.54,0.0,157.24,1288.82,10049.93,-4.529999999999969,17.3500000000004
Mar 2017,452.96,18.17,85.7,93.42,5.55,3.81,0.18,0.03,19.45,0,8.25,0,415.34,0.46,4.54,0.0,420.34,1260.98,10060.99,-27.8399999999999,11.0599999999995
