date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,55.37,1.08,0,1.09,0.65,0.1,0.09,0.01,0.88,0,-0.62,0,53.41,0.06,0.34,0.0,53.81,30.18,179.93,0.0,0.0
Feb 2016,51.84,0.83,0,1.0,0.36,0.1,0.09,0.01,0.82,0,-0.47,0,50.19,0.04,0.38,0.0,50.61,30.47,180.11,0.289999999999999,0.18000000000000702
Mar 2016,285.22,3.59,0,5.06,0.48,0.1,0.09,0.01,4.53,0,-2.05,0,277.1,0.19,0.44,0.0,277.73,30.43,180.39,-0.0399999999999991,0.27999999999997305
Apr 2016,65.47,5.36,0,7.99,0.25,0.1,0.09,0.01,1.04,0,-3.06,0,59.06,0.28,0.68,0.01,60.04,30.45,182.79,0.0199999999999996,2.4000000000000097
May 2016,167.43,5.37,0,2.24,8.15,2.24,0.83,0.01,2.66,0,-3.06,0,159.41,0.28,2.78,5.88,168.35,29.99,180.68,-0.460000000000001,-2.1099999999999897
Jun 2016,82.88,8.11,0,1.89,12.31,1.89,1.18,0.0,1.32,0,-4.63,0,73.45,0.43,2.88,8.08,84.85,33.95,173.57,3.96,-7.110000000000009
Jul 2016,577.2,10.39,0,7.59,12.3,4.13,0.75,0.01,9.16,0,-5.93,0,557.65,0.55,4.75,7.97,570.92,42.67,160.99,8.72,-12.58
Aug 2016,760.06,12.16,0,11.91,8.94,2.4,0.47,0.01,12.06,0,-6.94,0,735.84,0.65,3.07,6.45,746.0,46.83,155.51,4.16,-5.480000000000019
Sep 2016,354.07,9.1,0,4.28,13.16,3.63,0.67,0.01,5.62,0,-5.19,0,339.36,0.48,4.09,5.52,349.45,50.76,153.73,3.93,-1.78
Oct 2016,118.29,1.83,0,2.06,0.92,0.21,0.11,0.01,1.88,0,-1.04,0,114.58,0.1,0.77,0.14,115.59,56.86,147.98,6.1,-5.75
Nov 2016,361.14,4.76,0,6.3,1.02,0.1,0.09,0.01,5.73,0,-2.72,0,350.65,0.25,0.42,0.0,351.32,56.9,148.58,0.0399999999999991,0.600000000000023
Dec 2016,72.12,1.26,0,1.35,0.65,0.1,0.09,0.01,1.14,0,-0.72,0,69.72,0.07,0.35,0.0,70.14,57.48,151.52,0.579999999999998,2.94
Jan 2017,206.82,3.18,0,3.7,1.23,0.1,0.09,0.01,3.28,0,-1.82,0,200.35,0.17,0.36,0.0,200.88,57.76,151.87,0.280000000000001,0.349999999999994
Feb 2017,194.95,2.83,0,3.46,0.93,0.1,0.09,0.01,3.09,0,-1.62,0,189.02,0.15,0.38,0.0,189.56,58.61,153.26,0.8500000000000011,1.38999999999999
Mar 2017,369.57,8.28,0,6.95,5.71,0.1,0.09,0.01,5.86,0,-4.72,0,355.43,0.44,0.63,0.0,356.5,59.14,154.66,0.530000000000001,1.4000000000000101
Apr 2017,333.32,10.82,0,8.05,8.47,0.1,0.09,0.01,5.29,0,-6.18,0,317.21,0.57,0.95,0.0,318.74,64.2,155.73,5.06,1.06999999999999
May 2017,586.2,15.18,0,15.74,7.81,0.52,0.16,0.01,9.3,0,-8.66,0,561.73,0.81,1.61,2.11,566.25,71.7,154.76,7.5,-0.969999999999999
Jun 2017,182.96,4.29,0,2.34,6.5,2.34,1.0,0.0,2.9,0,-2.45,0,175.77,0.23,3.68,7.25,186.93,77.53,153.15,5.83,-1.6099999999999899
Jul 2017,612.77,7.83,0,7.83,7.82,3.76,0.69,0.01,9.72,0,-4.47,0,595.21,0.42,4.77,7.67,608.07,79.0,145.36,1.47,-7.78999999999999
Aug 2017,735.94,9.07,0,10.7,5.71,2.65,0.51,0.01,11.68,0,-5.18,0,715.19,0.48,3.59,6.67,725.94,78.97,142.26,-0.0300000000000011,-3.10000000000002
Sep 2017,316.76,4.01,0,3.22,6.09,3.22,0.64,0.01,5.03,0,-2.29,0,307.72,0.21,3.84,5.01,316.78,78.94,141.6,-0.0300000000000011,-0.6599999999999971
Oct 2017,402.54,4.91,0,6.9,0.66,0.1,0.09,0.01,6.39,0,-2.8,0,391.24,0.26,0.64,0.0,392.14,78.6,138.69,-0.34000000000000297,-2.91
Nov 2017,229.18,2.87,0,3.96,0.48,0.1,0.09,0.01,3.64,0,-1.64,0,222.68,0.15,0.4,0.0,223.24,78.6,142.19,0.0,3.5
Dec 2017,62.95,0.92,0,1.15,0.34,0.1,0.09,0.01,1.0,0,-0.53,0,61.03,0.05,0.36,0.0,61.44,78.66,144.12,0.0600000000000023,1.9300000000000102
Jan 2018,118.3,1.5,0,2.08,0.3,0.1,0.09,0.01,1.88,0,-0.86,0,114.92,0.08,0.43,0.0,115.43,78.62,144.51,-0.03999999999999201,0.38999999999998597
Feb 2018,151.57,1.93,0,2.65,0.38,0.1,0.09,0.01,2.41,0,-1.1,0,147.23,0.1,0.44,0.0,147.77,78.47,145.46,-0.150000000000006,0.9500000000000172
Mar 2018,233.85,2.84,0,4.03,0.38,0.1,0.09,0.01,3.71,0,-1.62,0,227.29,0.15,0.58,0.0,228.03,78.4,146.68,-0.0699999999999932,1.22
Apr 2018,216.56,2.72,0,6.64,0.19,2.71,0.09,0.01,3.44,0,-1.55,0,210.41,0.14,0.96,0.0,211.51,78.17,148.7,-0.23000000000000398,2.01999999999998
May 2018,346.92,5.12,0,8.32,2.53,3.09,0.31,0.01,5.5,0,-2.92,0,336.3,0.27,2.49,2.68,341.74,74.77,150.51,-3.4000000000000097,1.81
Jun 2018,208.66,5.51,0,2.61,8.37,2.61,0.98,0.01,3.31,0,-3.15,0,199.83,0.29,3.88,7.33,211.34,72.02,150.11,-2.75,-0.39999999999997704
Jul 2018,480.06,6.42,0,4.97,9.42,4.65,0.84,0.01,7.62,0,-3.66,0,466.03,0.34,5.59,7.98,479.93,74.88,141.96,2.86,-8.15000000000001
Aug 2018,412.82,5.32,0,4.16,8.07,4.16,0.78,0.01,6.55,0,-3.03,0,400.96,0.28,4.96,6.79,412.99,74.89,137.12,0.0100000000000051,-4.84
Sep 2018,470.71,5.9,0,6.1,5.66,2.81,0.53,0.01,7.47,0,-3.37,0,457.34,0.31,3.48,5.26,466.4,74.6,133.07,-0.29000000000000603,-4.05000000000001
Oct 2018,226.48,2.95,0,3.94,0.64,0.1,0.09,0.01,3.59,0,-1.69,0,219.93,0.16,0.75,0.0,220.83,74.5,131.39,-0.0999999999999943,-1.6800000000000102
Nov 2018,164.02,2.09,0,2.86,0.41,0.1,0.09,0.01,2.6,0,-1.19,0,159.33,0.11,0.45,0.0,159.89,74.37,133.22,-0.12999999999999498,1.83000000000001
Dec 2018,137.67,1.87,0,2.43,0.5,0.1,0.09,0.01,2.18,0,-1.07,0,133.62,0.1,0.47,0.0,134.19,74.31,134.55,-0.0600000000000023,1.33000000000001
Jan 2019,119.95,1.56,0,2.11,0.34,0.1,0.09,0.01,1.9,0,-0.89,0,116.49,0.08,0.4,0.0,116.98,74.32,135.6,0.009999999999990909,1.04999999999998
