date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,80.12,2.05,1.37,3.4,0.0,0.05,0.11,0.21,1.29,0,0.03,0,76.77,0.04,1.05,0.0,77.86,96.6,826.11,0.0,0.0
Feb 2016,176.7,4.53,2.88,12.79,0.0,5.53,0.11,0.21,2.85,0,0.07,0,169.33,0.08,1.2,0.0,170.61,95.41,827.53,-1.19,1.41999999999996
Mar 2016,58.99,1.51,1.26,15.3,0.0,12.59,0.11,0.21,0.95,0,0.03,0,56.52,0.03,1.94,0.0,58.5,88.58,830.55,-6.83,3.0199999999999796
Apr 2016,4.17,0.11,2.1,4.02,1.22,3.14,0.25,0.21,0.07,0,0.05,0,3.99,0.06,2.32,2.25,8.62,73.95,831.63,-14.63,1.08000000000004
May 2016,623.12,15.98,12.15,44.25,0.47,17.21,0.16,0.21,10.04,0,0.3,0,597.1,0.33,2.05,2.76,602.24,69.75,829.46,-4.2,-2.16999999999996
Jun 2016,153.67,3.94,3.17,23.14,1.52,17.71,0.29,0.21,2.48,0,0.08,0,147.25,0.09,2.59,3.43,153.35,50.91,837.09,-18.84,7.63
Jul 2016,483.25,12.39,15.83,20.72,7.37,0.68,0.23,0.21,7.79,0,0.39,0,463.07,0.43,1.91,3.5,468.92,32.21,836.14,-18.7,-0.950000000000045
Aug 2016,202.54,5.19,6.48,16.79,1.35,6.8,0.27,0.21,3.26,0,0.16,0,194.08,0.18,1.86,2.99,199.1,37.0,840.79,4.79,4.64999999999998
Sep 2016,288.56,7.4,6.9,14.53,0.98,1.56,0.22,0.21,4.65,0,0.17,0,276.51,0.19,1.44,2.52,280.66,29.75,841.16,-7.25,0.370000000000005
Oct 2016,451.2,11.57,7.56,12.74,6.1,0.09,0.12,0.21,7.27,0,0.18,0,432.36,0.21,0.66,0.82,434.05,27.74,843.45,-2.01,2.29000000000008
Nov 2016,56.26,1.44,0.93,1.83,0.55,0.04,0.11,0.21,0.91,0,0.02,0,53.91,0.03,0.58,0.0,54.52,32.99,850.18,5.25,6.7299999999999
Dec 2016,73.24,1.88,1.06,2.48,0.44,0.04,0.11,0.21,1.18,0,0.03,0,70.18,0.03,0.48,0.0,70.69,32.82,851.2,-0.17000000000000198,1.0200000000001
Jan 2017,74.58,1.91,1.07,2.63,0.33,0.04,0.11,0.21,1.2,0,0.03,0,71.46,0.03,0.46,0.0,71.95,32.64,852.51,-0.18,1.3099999999999499
Feb 2017,93.37,2.39,2.6,5.88,0.0,1.02,0.11,0.21,1.51,0,0.06,0,89.47,0.07,0.69,0.0,90.23,32.38,853.84,-0.259999999999998,1.33000000000004
Mar 2017,149.32,3.83,6.81,10.91,0.0,0.63,0.11,0.21,2.41,0,0.17,0,143.09,0.18,0.87,0.0,144.14,30.57,855.51,-1.81,1.66999999999996
Apr 2017,194.9,5.0,11.16,9.48,6.2,0.1,0.12,0.21,3.14,0,0.27,0,186.76,0.3,0.9,0.33,188.29,28.98,858.18,-1.59,2.66999999999996
May 2017,518.06,13.28,18.93,30.08,1.6,0.43,0.19,0.21,8.35,0,0.46,0,496.43,0.51,1.52,2.9,501.36,34.1,861.34,5.12,3.16000000000008
Jun 2017,208.12,5.34,5.96,18.86,1.5,9.36,0.28,0.21,3.35,0,0.15,0,199.43,0.16,2.22,3.64,205.45,33.72,867.28,-0.380000000000003,5.93999999999994
Jul 2017,230.63,5.91,7.04,10.99,2.57,0.96,0.29,0.21,3.72,0,0.17,0,220.99,0.19,1.89,3.64,226.72,23.7,867.07,-10.02,-0.209999999999923
