date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,12.76,0.02,0.01,0.09,0.0,0.06,0.52,0.0,0.02,0,-0.0,0,12.72,0.0,0.46,0.0,13.18,0,-287.52,0,0.0
Feb 2016,185.98,0.31,0.15,0.59,0.0,0.06,0.52,0.0,0.29,0,-0.09,0,185.37,0.04,0.46,0.0,185.87,0,-288.03,0,-0.509999999999991
Mar 2016,73.29,0.12,0.19,0.44,0.0,0.06,0.52,0.0,0.11,0,-0.11,0,73.05,0.05,0.46,0.0,73.55,0,-288.35,0,-0.32000000000004997
Apr 2016,94.24,0.16,0.21,0.51,0.0,0.06,0.52,0.0,0.15,0,-0.13,0,93.94,0.05,0.46,0.0,94.45,0,-288.87,0,-0.519999999999982
May 2016,8.23,0.01,0.01,0.1,0.03,0.1,0.61,0.01,0.01,0,-0.01,0,8.2,0.0,0.53,0.36,9.1,0,-289.37,0,-0.5
Jun 2016,140.39,0.24,0.0,0.3,0.09,0.16,0.69,0.02,0.22,0,-0.0,0,139.94,0.0,0.6,0.75,141.29,0,-290.33,0,-0.95999999999998
Jul 2016,485.67,0.82,0.08,0.99,0.07,0.13,0.65,0.02,0.76,0,-0.05,0,484.09,0.02,0.56,0.69,485.36,0,-291.52,0,-1.19
Aug 2016,513.65,0.87,0.1,1.07,0.06,0.12,0.62,0.01,0.8,0,-0.06,0,511.98,0.02,0.55,0.58,513.13,0,-292.13,0,-0.610000000000014
Sep 2016,878.18,1.49,0.1,1.69,0.02,0.08,0.56,0.01,1.37,0,-0.06,0,875.32,0.03,0.49,0.45,876.29,0,-292.58,0,-0.449999999999989
Oct 2016,136.56,0.23,0.02,0.32,0.0,0.06,0.52,0.0,0.21,0,-0.01,0,136.12,0.0,0.46,0.0,136.58,0,-292.28,0,0.300000000000011
Nov 2016,38.17,0.06,0.01,0.14,0.0,0.07,0.52,0.0,0.06,0,-0.0,0,38.05,0.0,0.46,0.0,38.51,0,-292.59,0,-0.310000000000002
Dec 2016,114.53,0.19,0.02,0.29,0.0,0.07,0.52,0.0,0.18,0,-0.01,0,114.16,0.01,0.46,0.0,114.63,0,-293.06,0,-0.47000000000002706
Jan 2017,196.04,0.33,0.07,0.48,0.0,0.07,0.52,0.0,0.31,0,-0.04,0,195.4,0.02,0.46,0.0,195.88,0,-293.42,0,-0.36000000000001403
Feb 2017,95.04,0.16,0.08,0.33,0.0,0.07,0.52,0.0,0.15,0,-0.05,0,94.73,0.02,0.46,0.0,95.21,0,-293.67,0,-0.25
Mar 2017,157.16,0.27,0.32,0.77,0.0,0.07,0.52,0.0,0.24,0,-0.2,0,156.65,0.08,0.46,0.0,157.18,0,-294.09,0,-0.41999999999995896
Apr 2017,13.92,0.02,0.06,0.17,0.0,0.07,0.52,0.0,0.02,0,-0.04,0,13.87,0.01,0.46,0.0,14.34,0,-294.56,0,-0.47000000000002706
May 2017,17.88,0.03,0.01,0.13,0.04,0.13,0.68,0.02,0.03,0,-0.01,0,17.83,0.0,0.58,0.63,19.04,0,-295.1,0,-0.54000000000002
Jun 2017,46.33,0.08,0.0,0.15,0.08,0.15,0.7,0.02,0.07,0,-0.0,0,46.18,0.0,0.6,0.73,47.52,0,-296.37,0,-1.26999999999998
Jul 2017,455.98,0.77,0.08,0.95,0.07,0.14,0.65,0.02,0.71,0,-0.05,0,454.5,0.02,0.57,0.69,455.78,0,-297.7,0,-1.32999999999998
Aug 2017,574.46,0.97,0.13,1.22,0.05,0.12,0.62,0.01,0.9,0,-0.08,0,572.59,0.03,0.54,0.58,573.75,0,-298.37,0,-0.670000000000016
Sep 2017,19.1,0.03,0.0,0.12,0.04,0.12,0.67,0.01,0.03,0,-0.0,0,19.04,0.0,0.57,0.5,20.1,0,-298.74,0,-0.370000000000005
Oct 2017,486.74,0.82,0.04,0.94,0.0,0.07,0.52,0.0,0.76,0,-0.02,0,485.16,0.01,0.46,0.01,485.64,0,-299.86,0,-1.12
Nov 2017,42.71,0.07,0.01,0.15,0.0,0.07,0.52,0.0,0.07,0,-0.01,0,42.57,0.0,0.46,0.0,43.03,0,-299.66,0,0.19999999999998896
Dec 2017,146.34,0.25,0.02,0.34,0.0,0.07,0.52,0.0,0.23,0,-0.01,0,145.86,0.0,0.46,0.0,146.33,0,-300.12,0,-0.45999999999998
Jan 2018,331.31,0.56,0.11,0.77,0.0,0.07,0.52,0.0,0.52,0,-0.07,0,330.24,0.03,0.46,0.0,330.72,0,-300.42,0,-0.300000000000011
Feb 2018,396.76,0.67,0.39,1.27,0.0,0.07,0.52,0.0,0.62,0,-0.24,0,395.47,0.1,0.46,0.0,396.03,0,-300.5,0,-0.0799999999999841
Mar 2018,326.53,0.55,0.62,1.46,0.0,0.07,0.52,0.0,0.51,0,-0.38,0,325.47,0.15,0.46,0.0,326.08,0,-300.64,0,-0.139999999999986
Apr 2018,271.31,0.46,0.54,1.26,0.0,0.07,0.52,0.0,0.42,0,-0.33,0,270.42,0.13,0.46,0.0,271.02,0,-301.03,0,-0.38999999999998597
May 2018,399.82,0.68,0.18,0.99,0.05,0.11,0.61,0.01,0.62,0,-0.11,0,398.52,0.05,0.53,0.52,399.62,0,-301.46,0,-0.430000000000007
Jun 2018,139.46,0.24,0.0,0.3,0.09,0.15,0.69,0.02,0.22,0,-0.0,0,139.01,0.0,0.6,0.74,140.34,0,-302.06,0,-0.600000000000023
Jul 2018,507.12,0.86,0.08,1.04,0.07,0.13,0.65,0.02,0.79,0,-0.05,0,505.48,0.02,0.57,0.71,506.78,0,-303.24,0,-1.18000000000001
