date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,20.18,0.52,0.26,1.5,0.0,0.74,0.11,0.21,0.33,0,0.01,0,19.34,0.01,0.99,0.0,20.34,96.6,825.92,0.0,0.0
Feb 2016,7.67,0.2,0.12,7.66,0.0,7.35,0.11,0.21,0.12,0,0.0,0,7.35,0.0,1.24,0.0,8.6,94.77,826.35,-1.83,0.430000000000064
Mar 2016,80.98,2.08,1.5,15.54,0.0,12.04,0.11,0.21,1.31,0,0.04,0,77.59,0.04,1.68,0.0,79.32,86.08,826.58,-8.69,0.230000000000018
Apr 2016,1.81,0.05,2.75,3.87,1.7,2.92,0.31,0.21,0.03,0,0.07,0,1.73,0.07,2.8,2.0,6.6,72.26,828.02,-13.82,1.4399999999999398
May 2016,52.37,1.34,1.34,26.56,2.44,26.38,0.39,0.21,0.84,0,0.03,0,50.18,0.04,3.18,2.99,56.39,68.34,826.02,-3.92,-2.0
Jun 2016,11.46,0.29,0.65,14.73,3.23,17.05,0.49,0.21,0.18,0,0.02,0,10.98,0.02,3.43,3.9,18.32,41.4,823.73,-26.94,-2.28999999999996
Jul 2016,447.04,11.46,13.17,17.6,7.55,1.19,0.33,0.21,7.21,0,0.32,0,428.37,0.36,2.09,3.55,434.37,24.43,819.76,-16.97,-3.97000000000003
Aug 2016,414.4,10.63,15.18,20.69,5.39,1.06,0.31,0.21,6.68,0,0.37,0,397.09,0.41,1.88,3.07,402.45,28.82,823.61,4.39,3.85000000000002
Sep 2016,269.59,6.91,6.74,14.1,1.72,2.51,0.31,0.21,4.35,0,0.16,0,258.33,0.18,1.89,2.57,262.97,31.37,827.49,2.55,3.88
Oct 2016,100.7,2.58,2.84,3.01,3.03,0.77,0.25,0.21,1.62,0,0.07,0,96.5,0.08,1.31,1.33,99.22,28.79,829.33,-2.58,1.84000000000003
Nov 2016,188.16,4.82,3.4,5.69,2.4,0.04,0.11,0.21,3.03,0,0.08,0,180.31,0.09,0.53,0.0,180.93,29.78,829.65,0.9900000000000021,0.31999999999993606
Dec 2016,36.62,0.94,0.55,1.38,0.13,0.04,0.11,0.21,0.59,0,0.01,0,35.1,0.01,0.49,0.0,35.6,31.51,832.86,1.73,3.21000000000004
Jan 2017,127.3,3.26,2.21,4.42,0.98,0.04,0.11,0.21,2.05,0,0.05,0,121.99,0.06,0.42,0.0,122.47,31.01,833.56,-0.5,0.699999999999932
Feb 2017,126.9,3.25,2.19,6.48,0.0,1.15,0.11,0.21,2.05,0,0.05,0,121.6,0.06,0.51,0.0,122.17,31.43,835.77,0.419999999999998,2.21000000000004
Mar 2017,241.04,6.18,4.52,12.2,0.0,1.73,0.11,0.21,3.89,0,0.11,0,230.98,0.12,0.86,0.0,231.95,29.68,837.96,-1.75,2.19000000000005
Apr 2017,128.13,3.29,7.05,6.45,3.79,0.27,0.16,0.21,2.07,0,0.17,0,122.77,0.19,1.03,0.59,124.58,26.99,842.06,-2.69,4.09999999999991
May 2017,256.91,6.59,11.12,19.56,1.74,4.16,0.31,0.21,4.14,0,0.27,0,246.18,0.3,1.94,2.84,251.25,29.43,843.76,2.44,1.7000000000000501
Jun 2017,152.1,3.9,3.24,13.12,2.59,8.74,0.41,0.21,2.45,0,0.08,0,145.75,0.09,2.47,3.53,151.83,25.17,845.24,-4.26,1.48000000000002
Jul 2017,481.25,12.34,14.13,17.37,9.49,1.11,0.32,0.21,7.76,0,0.35,0,461.16,0.38,1.74,3.49,466.77,16.76,844.03,-8.41,-1.2100000000000402
Aug 2017,365.98,9.38,13.49,17.58,5.77,1.18,0.33,0.21,5.9,0,0.33,0,350.69,0.37,1.85,3.16,356.08,23.51,848.54,6.75,4.509999999999991
Sep 2017,258.08,6.62,6.31,12.66,1.68,1.73,0.31,0.21,4.16,0,0.15,0,247.3,0.17,1.7,2.46,251.64,26.37,851.48,2.86,2.94000000000005
