date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,158.58,9.21,15.83,34.31,0.4,0.25,1.84,0.78,16.54,0,-10.59,0,132.83,1.17,1.21,0.0,135.21,0,-342.71,0,0.0
Feb 2016,129.79,7.54,18.56,37.0,0.4,0.25,1.84,0.78,13.53,0,-12.42,0,108.72,1.37,1.21,0.0,111.3,0,-337.83,0,4.88
Mar 2016,106.97,6.21,24.69,45.45,0.4,0.25,1.84,0.78,11.15,0,-16.52,0,89.6,1.82,1.21,0.0,92.64,0,-337.78,0,0.0500000000000114
Apr 2016,93.67,5.44,20.53,38.03,0.4,0.25,1.84,0.78,9.77,0,-13.73,0,78.46,1.52,1.21,0.0,81.19,0,-344.2,0,-6.4200000000000195
May 2016,24.32,1.41,50.04,80.64,1.54,0.96,1.86,0.78,2.54,0,-33.48,0,20.37,3.7,1.67,0.37,26.11,0,-349.23,0,-5.0300000000000304
Jun 2016,123.84,7.19,19.4,34.77,8.75,5.39,1.98,0.78,12.91,0,-12.98,0,103.73,1.43,4.56,3.09,112.82,0,-381.62,0,-32.39
Jul 2016,154.49,8.97,5.41,14.04,9.29,5.72,1.99,0.78,16.11,0,-3.62,0,129.41,0.4,4.78,3.35,137.94,0,-385.97,0,-4.35000000000002
Aug 2016,257.69,14.97,1.13,14.35,6.3,3.88,1.94,0.78,26.87,0,-0.76,0,215.85,0.08,3.58,2.75,222.27,0,-378.05,0,7.9200000000000195
Sep 2016,302.13,17.55,0.06,16.91,1.92,1.19,1.87,0.78,31.51,0,-0.04,0,253.07,0.0,1.83,1.24,256.14,0,-355.84,0,22.21
Oct 2016,185.46,10.77,0.0,10.62,0.4,0.25,1.85,0.78,19.34,0,0.0,0,155.35,0.0,1.21,0.0,156.56,0,-326.71,0,29.13
