date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,7.1,0.12,0.36,0.68,0.01,0.02,0.09,0,0.15,0,-0.19,0,6.83,0.01,0.07,0.0,6.91,0,351.33,0,0.0
Feb 2016,111.25,1.87,4.02,7.94,0.01,0.02,0.09,0,2.42,0,-2.15,0,106.97,0.11,0.07,0.0,107.15,0,351.21,0,-0.120000000000005
Mar 2016,36.42,0.61,1.83,3.39,0.01,0.02,0.09,0,0.79,0,-0.98,0,35.02,0.05,0.07,0.0,35.14,0,351.39,0,0.18000000000000702
Apr 2016,167.58,2.81,11.49,20.14,0.01,0.02,0.09,0,3.64,0,-6.14,0,161.13,0.31,0.07,0.0,161.52,0,351.11,0,-0.27999999999997305
May 2016,115.59,1.94,6.24,10.08,2.82,1.54,0.09,0,2.51,0,-3.34,0,111.14,0.17,1.36,2.69,115.37,0,348.53,0,-2.58000000000004
Jun 2016,207.69,3.48,6.05,10.6,4.4,2.4,0.09,0,4.51,0,-3.23,0,199.69,0.16,2.09,4.82,206.77,0,344.92,0,-3.60999999999996
Jul 2016,416.89,6.99,10.96,22.3,2.68,1.47,0.09,0,9.06,0,-5.86,0,400.84,0.3,1.3,4.71,407.15,0,341.29,0,-3.63
Aug 2016,456.8,7.66,14.72,29.11,1.62,0.89,0.09,0,9.92,0,-7.86,0,439.22,0.4,0.81,3.84,444.27,0,339.7,0,-1.59000000000003
Sep 2016,337.69,5.66,9.14,18.8,1.43,0.79,0.09,0,7.34,0,-4.88,0,324.7,0.25,0.73,2.97,328.64,0,337.83,0,-1.87
Oct 2016,31.79,0.53,1.47,2.76,0.01,0.02,0.09,0,0.69,0,-0.78,0,30.56,0.04,0.07,0.0,30.68,0,337.23,0,-0.5999999999999661
Nov 2016,46.8,0.78,2.01,3.82,0.01,0.02,0.09,0,1.02,0,-1.07,0,45.0,0.05,0.07,0.0,45.13,0,337.05,0,-0.18000000000000702
Dec 2016,27.18,0.46,1.18,2.25,0.01,0.02,0.09,0,0.59,0,-0.63,0,26.13,0.03,0.07,0.0,26.24,0,336.9,0,-0.150000000000034
Jan 2017,91.71,1.54,3.0,6.07,0.01,0.02,0.09,0,1.99,0,-1.6,0,88.18,0.08,0.07,0.0,88.33,0,336.77,0,-0.12999999999999498
Feb 2017,37.93,0.64,1.29,2.59,0.01,0.02,0.09,0,0.82,0,-0.69,0,36.47,0.03,0.07,0.0,36.58,0,337.08,0,0.310000000000002
Mar 2017,46.04,0.77,2.01,3.82,0.01,0.02,0.09,0,1.0,0,-1.07,0,44.27,0.05,0.07,0.0,44.39,0,337.12,0,0.0400000000000205
Apr 2017,34.18,0.57,8.0,12.64,0.01,0.02,0.09,0,0.74,0,-4.27,0,32.86,0.22,0.07,0.0,33.15,0,336.96,0,-0.16000000000002498
May 2017,110.14,1.85,2.64,4.21,3.56,1.95,0.09,0,2.39,0,-1.41,0,105.9,0.07,1.7,3.3,110.98,0,333.34,0,-3.62
Jun 2017,304.84,5.11,10.44,19.35,3.32,1.82,0.09,0,6.62,0,-5.58,0,293.1,0.28,1.59,4.71,299.69,0,330.93,0,-2.4099999999999704
Jul 2017,277.24,4.65,5.36,10.94,3.93,2.15,0.09,0,6.02,0,-2.86,0,266.57,0.15,1.87,4.79,273.38,0,327.18,0,-3.75
Aug 2017,337.9,5.67,10.0,19.57,2.57,1.41,0.09,0,7.34,0,-5.34,0,324.89,0.27,1.25,3.95,330.37,0,325.45,0,-1.73000000000002
Sep 2017,29.95,0.5,1.16,1.24,2.25,1.24,0.09,0,0.65,0,-0.62,0,28.79,0.03,1.1,3.45,33.37,0,323.41,0,-2.03999999999996
Oct 2017,300.92,5.05,8.94,18.53,0.01,0.02,0.09,0,6.54,0,-4.78,0,289.34,0.24,0.07,0.08,289.73,0,319.91,0,-3.5
Nov 2017,29.6,0.5,1.28,2.45,0.01,0.02,0.09,0,0.64,0,-0.69,0,28.46,0.03,0.07,0.0,28.57,0,321.5,0,1.5899999999999699
Dec 2017,93.49,1.57,3.02,6.14,0.01,0.02,0.09,0,2.03,0,-1.62,0,89.89,0.08,0.07,0.0,90.05,0,321.37,0,-0.12999999999999498
Jan 2018,191.26,3.21,5.22,11.09,0.01,0.02,0.09,0,4.15,0,-2.79,0,183.9,0.14,0.07,0.0,184.11,0,321.7,0,0.32999999999998403
Feb 2018,120.26,2.02,4.6,8.96,0.01,0.02,0.09,0,2.61,0,-2.46,0,115.63,0.12,0.07,0.0,115.83,0,322.97,0,1.27000000000004
Mar 2018,267.6,4.49,8.94,17.98,0.01,0.02,0.09,0,5.81,0,-4.78,0,257.3,0.24,0.07,0.0,257.62,0,323.04,0,0.0699999999999932
Apr 2018,262.93,4.41,13.66,25.01,0.01,0.02,0.09,0,5.71,0,-7.3,0,252.81,0.37,0.07,0.0,253.26,0,323.99,0,0.949999999999989
May 2018,561.4,9.41,27.76,51.22,0.11,0.08,0.09,0,12.19,0,-14.83,0,539.79,0.75,0.12,2.58,543.24,0,322.31,0,-1.6800000000000102
Jun 2018,203.39,3.41,4.29,7.85,4.48,2.44,0.09,0,4.42,0,-2.29,0,195.56,0.12,2.13,4.85,202.66,0,317.01,0,-5.30000000000001
Jul 2018,233.35,3.91,4.16,8.13,4.53,2.47,0.09,0,5.07,0,-2.22,0,224.37,0.11,2.15,4.95,231.58,0,314.19,0,-2.8199999999999905
Aug 2018,437.6,7.34,13.73,27.2,1.85,1.02,0.09,0,9.51,0,-7.33,0,420.76,0.37,0.92,3.96,426.01,0,312.0,0,-2.19
Sep 2018,145.44,2.44,2.91,5.1,3.82,2.09,0.09,0,3.16,0,-1.56,0,139.84,0.08,1.83,3.42,145.17,0,310.12,0,-1.88
Oct 2018,74.78,1.25,1.66,3.56,0.48,0.28,0.09,0,1.62,0,-0.89,0,71.9,0.04,0.29,0.39,72.62,0,308.22,0,-1.89999999999998
Nov 2018,119.96,2.01,3.95,7.98,0.01,0.02,0.09,0,2.61,0,-2.11,0,115.34,0.11,0.07,0.0,115.52,0,308.48,0,0.259999999999991
Dec 2018,15.5,0.26,0.76,1.42,0.01,0.02,0.09,0,0.34,0,-0.41,0,14.9,0.02,0.07,0.0,15.0,0,308.88,0,0.39999999999997704
Jan 2019,128.1,2.15,4.17,8.45,0.01,0.02,0.09,0,2.78,0,-2.23,0,123.17,0.11,0.07,0.0,123.35,0,308.72,0,-0.15999999999996803
Feb 2019,42.46,0.71,1.67,3.24,0.01,0.02,0.09,0,0.92,0,-0.89,0,40.83,0.05,0.07,0.0,40.95,0,309.19,0,0.46999999999997
Mar 2019,153.42,2.57,6.06,11.72,0.01,0.02,0.09,0,3.33,0,-3.24,0,147.52,0.16,0.07,0.0,147.75,0,309.13,0,-0.0600000000000023
Apr 2019,66.36,1.11,6.41,10.79,0.01,0.02,0.09,0,1.44,0,-3.43,0,63.81,0.17,0.07,0.0,64.05,0,309.13,0,0.0
May 2019,196.81,3.3,10.68,19.04,0.81,0.46,0.09,0,4.28,0,-5.7,0,189.23,0.29,0.44,1.21,191.18,0,307.06,0,-2.06999999999999
Jun 2019,245.83,4.12,6.66,12.36,3.96,2.16,0.09,0,5.34,0,-3.56,0,236.37,0.18,1.89,4.76,243.2,0,304.33,0,-2.7300000000000204
Jul 2019,382.15,6.41,8.92,18.48,3.02,1.66,0.09,0,8.3,0,-4.76,0,367.44,0.24,1.46,4.79,373.93,0,301.26,0,-3.0699999999999905
Aug 2019,288.46,4.84,8.92,16.87,3.11,1.7,0.09,0,6.27,0,-4.76,0,277.35,0.24,1.5,4.04,283.14,0,299.92,0,-1.3399999999999699
Sep 2019,107.48,1.8,2.51,3.67,4.2,2.29,0.09,0,2.33,0,-1.34,0,103.35,0.07,2.0,3.38,108.79,0,297.29,0,-2.63
Oct 2019,103.57,1.74,4.09,7.87,0.13,0.09,0.09,0,2.25,0,-2.19,0,99.58,0.11,0.13,0.13,99.95,0,294.82,0,-2.47000000000003
Nov 2019,104.99,1.76,3.73,7.4,0.01,0.02,0.09,0,2.28,0,-1.99,0,100.95,0.1,0.07,0.0,101.12,0,294.66,0,-0.15999999999996803
Dec 2019,88.53,1.48,2.45,5.2,0.01,0.02,0.09,0,1.92,0,-1.31,0,85.12,0.07,0.07,0.0,85.26,0,294.86,0,0.19999999999998896
Jan 2020,140.1,2.35,4.38,8.97,0.01,0.02,0.09,0,3.04,0,-2.34,0,134.71,0.12,0.07,0.0,134.9,0,295.38,0,0.519999999999982
Feb 2020,126.33,2.12,4.35,8.69,0.01,0.02,0.09,0,2.74,0,-2.32,0,121.47,0.12,0.07,0.0,121.66,0,295.99,0,0.610000000000014
Mar 2020,40.26,0.68,2.05,3.78,0.01,0.02,0.09,0,0.87,0,-1.09,0,38.71,0.06,0.07,0.0,38.84,0,296.32,0,0.32999999999998403
Apr 2020,200.09,3.36,11.6,20.85,0.01,0.02,0.09,0,4.35,0,-6.2,0,192.39,0.31,0.07,0.0,192.78,0,296.01,0,-0.310000000000002
May 2020,238.12,3.99,13.75,24.2,1.17,0.65,0.09,0,5.17,0,-7.35,0,228.96,0.37,0.61,1.91,231.85,0,294.07,0,-1.94
Jun 2020,88.74,1.49,2.49,2.86,5.25,2.86,0.09,0,1.93,0,-1.33,0,85.32,0.07,2.48,4.86,92.72,0,289.89,0,-4.1800000000000095
Jul 2020,341.68,5.73,7.41,15.35,3.41,1.87,0.09,0,7.42,0,-3.96,0,328.53,0.2,1.64,4.86,335.22,0,285.54,0,-4.34999999999997
Aug 2020,331.97,5.57,7.12,15.06,2.76,1.51,0.09,0,7.21,0,-3.81,0,319.19,0.19,1.34,4.08,324.8,0,284.05,0,-1.4900000000000102
Sep 2020,199.14,3.34,3.41,7.24,2.74,1.5,0.09,0,4.33,0,-1.82,0,191.48,0.09,1.33,2.98,195.88,0,283.28,0,-0.770000000000039
Oct 2020,99.55,1.67,3.23,6.55,0.01,0.02,0.09,0,2.16,0,-1.73,0,95.72,0.09,0.07,0.0,95.88,0,282.72,0,-0.559999999999945
Nov 2020,108.25,1.82,3.21,6.67,0.01,0.02,0.09,0,2.35,0,-1.71,0,104.09,0.09,0.07,0.0,104.25,0,283.06,0,0.339999999999975
Dec 2020,100.01,1.68,3.26,6.61,0.01,0.02,0.1,0,2.17,0,-1.74,0,96.16,0.09,0.07,0.0,96.32,0,283.61,0,0.5500000000000109
Jan 2021,107.69,1.81,3.71,7.42,0.01,0.02,0.1,0,2.34,0,-1.98,0,103.55,0.1,0.07,0.0,103.72,0,283.95,0,0.339999999999975
Feb 2021,53.39,0.9,2.08,4.05,0.01,0.02,0.1,0,1.16,0,-1.11,0,51.34,0.06,0.07,0.0,51.47,0,284.21,0,0.259999999999991
Mar 2021,47.88,0.8,2.06,3.92,0.01,0.02,0.1,0,1.04,0,-1.1,0,46.03,0.06,0.07,0.0,46.16,0,284.17,0,-0.0399999999999636
Apr 2021,76.01,1.27,9.58,15.74,0.01,0.02,0.1,0,1.65,0,-5.12,0,73.09,0.26,0.07,0.0,73.42,0,284.01,0,-0.16000000000002498
May 2021,87.43,1.47,2.79,4.54,2.5,1.37,0.1,0,1.9,0,-1.49,0,84.07,0.08,1.22,2.21,87.57,0,280.45,0,-3.56
Jun 2021,284.97,4.78,7.77,14.99,3.3,1.81,0.1,0,6.19,0,-4.15,0,274.0,0.21,1.59,4.48,280.28,0,278.56,0,-1.88999999999999
Jul 2021,279.87,4.69,6.64,12.89,4.0,2.19,0.1,0,6.08,0,-3.55,0,269.1,0.18,1.91,4.89,276.07,0,276.03,0,-2.53000000000003
Aug 2021,151.41,2.54,3.17,5.15,4.77,2.6,0.1,0,3.29,0,-1.7,0,145.58,0.09,2.26,4.26,152.19,0,273.58,0,-2.44999999999999
Sep 2021,26.55,0.45,1.01,1.09,1.97,1.09,0.1,0,0.58,0,-0.54,0,25.53,0.03,0.97,3.47,30.01,0,270.81,0,-2.7699999999999796
Oct 2021,59.27,0.99,1.97,3.87,0.27,0.17,0.1,0,1.29,0,-1.05,0,56.99,0.05,0.2,0.21,57.45,0,267.28,0,-3.53000000000003
Nov 2021,66.61,1.12,2.55,4.98,0.01,0.02,0.1,0,1.45,0,-1.36,0,64.04,0.07,0.07,0.0,64.19,0,267.22,0,-0.0599999999999454
Dec 2021,62.44,1.05,1.93,3.97,0.01,0.02,0.1,0,1.36,0,-1.03,0,60.04,0.05,0.07,0.0,60.16,0,267.21,0,-0.0100000000000477
Jan 2022,140.6,2.36,4.48,9.12,0.01,0.02,0.1,0,3.05,0,-2.39,0,135.18,0.12,0.08,0.0,135.38,0,267.44,0,0.230000000000018
Feb 2022,99.96,1.68,3.61,7.14,0.01,0.02,0.1,0,2.17,0,-1.93,0,96.12,0.1,0.08,0.0,96.29,0,268.01,0,0.569999999999993
Mar 2022,26.72,0.45,1.28,2.39,0.01,0.02,0.1,0,0.58,0,-0.68,0,25.69,0.03,0.08,0.0,25.8,0,268.16,0,0.150000000000034
Apr 2022,111.7,1.87,8.63,14.9,0.01,0.02,0.1,0,2.43,0,-4.61,0,107.4,0.23,0.08,0.0,107.71,0,267.97,0,-0.18999999999999803
May 2022,376.18,6.31,18.09,33.23,0.8,0.45,0.1,0,8.17,0,-9.67,0,361.71,0.49,0.44,2.53,365.17,0,265.69,0,-2.28000000000003
Jun 2022,77.83,1.3,2.23,2.55,4.67,2.55,0.1,0,1.69,0,-1.19,0,74.83,0.06,2.22,4.94,82.05,0,261.57,0,-4.12
Jul 2022,263.87,4.42,5.4,10.61,4.29,2.34,0.1,0,5.73,0,-2.88,0,253.71,0.15,2.04,5.02,260.92,0,257.03,0,-4.54000000000002
