date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,173.11,0.38,1.21,1.59,0.09,0.21,0.45,0.0,0.33,0,-0.01,0,172.4,0.13,0.33,0.0,172.86,0,-153.89,0,0.0
Feb 2016,321.8,0.71,1.97,2.61,0.09,0.21,0.45,0.0,0.62,0,-0.01,0,320.48,0.21,0.33,0.0,321.02,0,-154.02,0,-0.130000000000024
Mar 2016,40.45,0.09,0.19,0.38,0.09,0.21,0.45,0.0,0.08,0,-0.0,0,40.29,0.02,0.33,0.0,40.64,0,-153.86,0,0.15999999999999698
Apr 2016,7.32,0.02,0.14,0.26,0.14,0.26,0.52,0.02,0.01,0,-0.0,0,7.29,0.01,0.39,0.14,7.84,0,-154.24,0,-0.379999999999995
May 2016,904.77,1.99,3.97,5.53,0.48,0.45,0.58,0.06,1.73,0,-0.03,0,901.05,0.42,0.56,0.74,902.77,0,-154.87,0,-0.629999999999995
Jun 2016,322.1,0.71,1.55,1.79,1.2,0.88,0.82,0.17,0.62,0,-0.01,0,320.77,0.16,0.97,0.93,322.83,0,-154.43,0,0.439999999999998
Jul 2016,568.97,1.25,2.36,3.11,1.06,0.8,0.78,0.15,1.09,0,-0.02,0,566.63,0.25,0.89,0.93,568.7,0,-155.4,0,-0.969999999999999
Aug 2016,276.91,0.61,1.16,1.34,1.18,0.87,0.82,0.17,0.53,0,-0.01,0,275.77,0.12,0.96,0.8,277.65,0,-155.89,0,-0.489999999999981
Sep 2016,528.5,1.16,2.62,3.37,0.79,0.63,0.68,0.11,1.01,0,-0.02,0,526.32,0.28,0.73,0.68,528.01,0,-156.82,0,-0.9300000000000072
Oct 2016,642.94,1.41,3.29,4.47,0.17,0.26,0.48,0.01,1.23,0,-0.02,0,640.3,0.35,0.37,0.2,641.22,0,-157.08,0,-0.260000000000019
Nov 2016,51.87,0.11,0.25,0.46,0.09,0.21,0.45,0.0,0.1,0,-0.0,0,51.66,0.03,0.33,0.0,52.02,0,-156.53,0,0.5500000000000109
Dec 2016,155.63,0.34,1.11,1.46,0.09,0.21,0.45,0.0,0.3,0,-0.01,0,154.99,0.12,0.33,0.0,155.44,0,-156.89,0,-0.35999999999998494
Jan 2017,176.79,0.39,1.46,1.82,0.09,0.21,0.45,0.0,0.34,0,-0.01,0,176.06,0.15,0.33,0.0,176.55,0,-157.05,0,-0.16000000000002498
Feb 2017,152.4,0.33,0.82,1.19,0.09,0.21,0.45,0.0,0.29,0,-0.01,0,151.77,0.09,0.33,0.0,152.19,0,-157.17,0,-0.11999999999997599
Mar 2017,148.1,0.33,0.58,0.97,0.09,0.21,0.45,0.0,0.28,0,-0.0,0,147.49,0.06,0.33,0.0,147.89,0,-157.34,0,-0.17000000000001597
Apr 2017,149.43,0.33,0.28,0.67,0.18,0.27,0.48,0.01,0.29,0,-0.0,0,148.81,0.03,0.38,0.07,149.29,0,-157.51,0,-0.169999999999987
May 2017,489.8,1.08,1.72,2.44,0.86,0.68,0.71,0.12,0.94,0,-0.01,0,487.79,0.18,0.77,0.8,489.54,0,-157.77,0,-0.260000000000019
