date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,79.87,4.64,11.6,23.04,0.41,0.3,1.96,0.78,8.33,0,-7.76,0,66.9,0.86,1.29,0.0,69.05,0,-349.22,0,0.0
Feb 2016,58.85,3.42,13.39,24.66,0.41,0.3,1.96,0.78,6.14,0,-8.96,0,49.29,0.99,1.29,0.0,51.57,0,-349.84,0,-0.619999999999948
Mar 2016,249.69,14.5,15.94,39.83,0.41,0.3,1.96,0.78,26.04,0,-10.67,0,209.15,1.18,1.29,0.0,211.61,0,-353.84,0,-4.0
Apr 2016,54.27,3.15,12.38,22.79,0.41,0.3,1.96,0.78,5.66,0,-8.28,0,45.46,0.91,1.29,0.0,47.66,0,-339.65,0,14.19
May 2016,67.58,3.93,39.5,66.74,0.65,0.45,1.96,0.78,7.05,0,-26.43,0,56.61,2.92,1.38,0.07,60.98,0,-343.45,0,-3.8000000000000096
Jun 2016,27.07,1.57,30.16,44.39,13.89,8.59,2.18,0.78,2.82,0,-20.18,0,22.67,2.23,6.7,3.13,34.74,0,-364.09,0,-20.64
Jul 2016,281.92,16.37,7.26,24.56,8.95,5.55,2.1,0.78,29.4,0,-4.86,0,236.15,0.54,4.72,3.14,244.54,0,-385.99,0,-21.9
Aug 2016,405.68,23.56,2.2,25.25,4.87,3.04,2.04,0.78,42.3,0,-1.47,0,339.81,0.16,3.08,2.54,345.59,0,-365.91,0,20.08
Sep 2016,254.99,14.81,0.71,14.34,4.32,2.71,2.03,0.78,26.59,0,-0.48,0,213.59,0.05,2.86,1.63,218.14,0,-328.87,0,37.04
Oct 2016,91.76,5.33,0.77,6.46,0.41,0.3,1.96,0.78,9.57,0,-0.52,0,76.86,0.06,1.29,0.0,78.21,0,-305.64,0,23.23
Nov 2016,378.4,21.98,9.22,36.58,0.41,0.3,1.96,0.78,39.46,0,-6.17,0,316.96,0.68,1.29,0.0,318.93,0,-297.77,0,7.87
