date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,71.68,0.23,0,0.28,0.01,0.02,0.12,0.0,0.44,0,-0.04,0,71.01,0.0,0.1,0.0,71.12,0,-2431.41,0,0.0
Feb 2016,241.9,0.77,0,0.9,0.01,0.02,0.12,0.0,1.5,0,-0.14,0,239.63,0.01,0.1,0.0,239.75,0,-2431.12,0,0.28999999999996395
Mar 2016,243.68,0.77,0,0.91,0.01,0.02,0.12,0.0,1.51,0,-0.14,0,241.4,0.01,0.1,0.0,241.52,0,-2429.88,0,1.2399999999997802
Apr 2016,101.88,0.32,0,0.38,0.01,0.02,0.3,0.06,0.63,0,-0.06,0,100.92,0.01,0.24,0.07,101.24,0,-2428.62,0,1.2600000000002198
May 2016,723.06,2.29,0,2.59,0.09,0.02,3.88,1.11,4.48,0,-0.41,0,716.28,0.04,2.84,3.1,722.25,0,-2428.37,0,0.25
Jun 2016,130.02,0.41,0,0.18,0.32,0.02,14.3,4.2,0.81,0,-0.07,0,128.8,0.01,10.4,3.97,143.18,0,-2430.16,0,-1.78999999999996
Jul 2016,727.37,2.31,0,2.52,0.18,0.02,7.9,2.3,4.5,0,-0.41,0,720.55,0.04,5.76,4.11,730.46,0,-2443.5,0,-13.3400000000001
Aug 2016,456.35,1.45,0,1.5,0.2,0.02,8.86,2.59,2.83,0,-0.26,0,452.07,0.02,6.45,3.36,461.91,0,-2449.11,0,-5.61000000000013
Sep 2016,274.91,0.87,0,0.82,0.21,0.02,9.33,2.72,1.7,0,-0.15,0,272.33,0.01,6.79,2.85,281.99,0,-2456.18,0,-7.069999999999711
Oct 2016,325.59,1.03,0,1.21,0.01,0.02,0.47,0.1,2.02,0,-0.18,0,322.54,0.02,0.36,0.31,323.23,0,-2464.08,0,-7.900000000000089
Nov 2016,173.2,0.55,0,0.65,0.01,0.02,0.12,0.0,1.07,0,-0.1,0,171.58,0.01,0.1,0.0,171.69,0,-2462.92,0,1.15999999999985
Dec 2016,51.96,0.16,0,0.2,0.01,0.02,0.12,0.0,0.32,0,-0.03,0,51.47,0.0,0.1,0.0,51.58,0,-2462.06,0,0.8600000000001271
Jan 2017,35.86,0.11,0,0.15,0.01,0.02,0.12,0.0,0.22,0,-0.02,0,35.52,0.0,0.1,0.0,35.63,0,-2461.89,0,0.170000000000073
Feb 2017,217.06,0.69,0,0.81,0.01,0.02,0.12,0.0,1.34,0,-0.12,0,215.03,0.01,0.1,0.0,215.14,0,-2461.8,0,0.0899999999996908
Mar 2017,255.26,0.81,0,0.95,0.01,0.02,0.12,0.0,1.58,0,-0.14,0,252.87,0.01,0.1,0.0,252.98,0,-2460.69,0,1.11000000000013
Apr 2017,653.81,2.08,0,2.42,0.01,0.02,0.12,0.0,4.05,0,-0.37,0,647.68,0.03,0.1,0.01,647.83,0,-2459.37,0,1.32000000000016
May 2017,808.35,2.57,0,2.93,0.07,0.02,3.11,0.88,5.01,0,-0.46,0,800.78,0.04,2.27,3.11,806.2,0,-2455.82,0,3.54999999999973
Jun 2017,332.18,1.05,0,0.98,0.26,0.02,11.78,3.45,2.06,0,-0.19,0,329.07,0.02,8.57,4.05,341.71,0,-2456.6,0,-0.779999999999745
Jul 2017,439.14,1.39,0,1.39,0.25,0.02,11.23,3.29,2.72,0,-0.25,0,435.03,0.02,8.18,4.17,447.4,0,-2467.11,0,-10.510000000000199
Aug 2017,548.09,1.74,0,1.85,0.19,0.02,8.55,2.49,3.39,0,-0.31,0,542.96,0.03,6.23,3.64,552.85,0,-2476.75,0,-9.63999999999987
Sep 2017,599.93,1.9,0,2.11,0.12,0.02,5.11,1.48,3.72,0,-0.34,0,594.31,0.03,3.73,2.8,600.87,0,-2483.35,0,-6.599999999999911
Oct 2017,162.57,0.52,0,0.56,0.06,0.02,2.63,0.74,1.01,0,-0.09,0,161.05,0.01,1.93,0.76,163.75,0,-2486.4,0,-3.05000000000018
Nov 2017,87.73,0.28,0,0.34,0.01,0.02,0.12,0.0,0.54,0,-0.05,0,86.91,0.0,0.1,0.0,87.02,0,-2488.13,0,-1.73000000000002
Dec 2017,57.97,0.18,0,0.23,0.01,0.02,0.12,0.0,0.36,0,-0.03,0,57.43,0.0,0.1,0.0,57.53,0,-2487.76,0,0.36999999999989097
Jan 2018,70.31,0.22,0,0.27,0.01,0.02,0.12,0.0,0.44,0,-0.04,0,69.65,0.0,0.1,0.0,69.76,0,-2487.54,0,0.220000000000255
Feb 2018,82.79,0.26,0,0.32,0.01,0.02,0.12,0.0,0.51,0,-0.05,0,82.02,0.0,0.1,0.0,82.12,0,-2487.26,0,0.279999999999745
Mar 2018,113.21,0.36,0,0.43,0.01,0.02,0.12,0.0,0.7,0,-0.06,0,112.14,0.01,0.1,0.0,112.25,0,-2486.91,0,0.350000000000364
Apr 2018,434.35,1.38,0,1.61,0.01,0.02,0.25,0.04,2.69,0,-0.24,0,430.29,0.02,0.2,0.34,430.84,0,-2486.39,0,0.519999999999982
May 2018,144.1,0.46,0,0.28,0.27,0.02,12.15,3.56,0.89,0,-0.08,0,142.75,0.01,8.84,3.55,155.16,0,-2484.49,0,1.90000000000009
Jun 2018,338.99,1.08,0,1.0,0.27,0.02,11.99,3.51,2.1,0,-0.19,0,335.82,0.02,8.73,4.16,348.73,0,-2495.83,0,-11.3400000000001
Jul 2018,630.54,2.0,0,2.15,0.19,0.02,8.59,2.51,3.91,0,-0.36,0,624.63,0.03,6.26,4.03,634.95,0,-2506.56,0,-10.73
Aug 2018,595.57,1.89,0,2.03,0.18,0.02,7.97,2.32,3.69,0,-0.34,0,589.99,0.03,5.81,3.63,599.46,0,-2513.12,0,-6.55999999999995
Sep 2018,310.77,0.99,0,0.98,0.19,0.02,8.32,2.43,1.92,0,-0.17,0,307.86,0.02,6.06,2.68,316.62,0,-2519.04,0,-5.92000000000007
Oct 2018,368.29,1.17,0,1.31,0.07,0.02,2.81,0.8,2.28,0,-0.21,0,364.84,0.02,2.06,1.3,368.22,0,-2525.87,0,-6.82999999999993
Nov 2018,81.35,0.26,0,0.31,0.01,0.02,0.12,0.0,0.5,0,-0.05,0,80.59,0.0,0.1,0.0,80.7,0,-2527.11,0,-1.24000000000024
Dec 2018,129.03,0.41,0,0.49,0.01,0.02,0.12,0.0,0.8,0,-0.07,0,127.82,0.01,0.1,0.0,127.93,0,-2526.77,0,0.340000000000146
Jan 2019,36.36,0.12,0,0.15,0.01,0.02,0.12,0.0,0.23,0,-0.02,0,36.02,0.0,0.1,0.0,36.12,0,-2526.16,0,0.6100000000001271
Feb 2019,255.9,0.81,0,0.96,0.01,0.02,0.12,0.0,1.58,0,-0.14,0,253.51,0.01,0.1,0.0,253.62,0,-2526.07,0,0.0899999999996908
Mar 2019,21.0,0.07,0,0.09,0.01,0.02,0.12,0.0,0.13,0,-0.01,0,20.81,0.0,0.1,0.0,20.91,0,-2524.75,0,1.32000000000016
Apr 2019,297.19,0.94,0,1.11,0.01,0.02,0.12,0.0,1.84,0,-0.17,0,294.41,0.02,0.1,0.0,294.53,0,-2524.74,0,0.0100000000002183
May 2019,393.58,1.25,0,1.28,0.18,0.02,8.21,2.39,2.44,0,-0.22,0,389.89,0.02,5.98,3.32,399.22,0,-2523.18,0,1.5599999999999499
Jun 2019,276.42,0.88,0,0.75,0.29,0.02,13.02,3.82,1.71,0,-0.16,0,273.83,0.01,9.47,4.24,287.56,0,-2530.11,0,-6.930000000000289
Jul 2019,203.66,0.65,0,0.44,0.33,0.02,14.57,4.28,1.26,0,-0.11,0,201.75,0.01,10.6,4.26,216.62,0,-2541.99,0,-11.879999999999699
Aug 2019,653.05,2.07,0,2.26,0.17,0.02,7.4,2.16,4.04,0,-0.37,0,646.93,0.03,5.39,3.64,656.0,0,-2555.4,0,-13.4100000000003
Sep 2019,49.09,0.16,0,0.02,0.18,0.02,12.9,3.73,0.3,0,-0.03,0,48.63,0.0,9.34,3.01,60.98,0,-2560.61,0,-5.21000000000004
Oct 2019,295.69,0.94,0,1.05,0.05,0.02,2.32,0.65,1.83,0,-0.17,0,292.92,0.02,1.7,0.95,295.59,0,-2572.52,0,-11.9099999999999
Nov 2019,45.45,0.14,0,0.18,0.01,0.02,0.12,0.0,0.28,0,-0.03,0,45.03,0.0,0.1,0.0,45.13,0,-2573.47,0,-0.9499999999998181
Dec 2019,114.82,0.36,0,0.44,0.01,0.02,0.12,0.0,0.71,0,-0.06,0,113.74,0.01,0.1,0.0,113.85,0,-2573.33,0,0.13999999999987303
Jan 2020,92.71,0.29,0,0.36,0.01,0.02,0.12,0.0,0.57,0,-0.05,0,91.84,0.0,0.1,0.0,91.95,0,-2572.8,0,0.529999999999745
Feb 2020,84.91,0.27,0,0.33,0.01,0.02,0.12,0.0,0.53,0,-0.05,0,84.12,0.0,0.1,0.0,84.22,0,-2572.39,0,0.41000000000030895
