date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,156.02,6.26,32.88,139.33,5.55,109.09,0.19,0.03,6.7,0,3.17,0,143.06,0.18,4.54,0.0,147.78,1396.75,9807.48,0.0,0.0
Feb 2016,71.17,2.85,36.56,59.15,5.55,29.01,0.19,0.03,3.06,0,3.52,0,65.26,0.2,4.54,0.0,70.0,1288.82,9817.19,-107.93,9.71000000000095
Mar 2016,205.38,8.24,46.36,48.14,5.55,3.81,0.19,0.03,8.82,0,4.46,0,188.32,0.25,4.54,0.0,193.11,1260.98,9823.62,-27.8399999999999,6.430000000000289
Apr 2016,54.32,2.18,92.85,47.23,39.72,1.35,0.19,0.03,2.33,0,8.94,0,49.81,0.5,4.79,1.71,56.81,1258.34,9836.75,-2.6400000000001,13.1299999999992
May 2016,105.77,4.24,390.8,274.69,88.51,7.88,0.19,0.03,4.54,0,37.63,0,96.98,2.1,13.42,11.74,124.25,1292.07,9846.16,33.73,9.40999999999985
Jun 2016,17.15,0.69,280.28,169.65,97.68,14.86,0.19,0.03,0.74,0,26.99,0,15.73,1.51,22.64,15.55,55.43,1359.42,9876.44,67.35000000000011,30.2800000000007
Jul 2016,419.92,16.84,90.91,66.85,47.93,16.27,0.19,0.03,18.03,0,8.75,0,385.04,0.49,24.51,16.27,426.32,1419.75,9888.46,60.32999999999989,12.0199999999986
Aug 2016,461.5,18.51,65.53,86.61,33.19,42.42,0.19,0.03,19.82,0,6.31,0,423.18,0.35,20.27,13.82,457.62,1427.05,9898.82,7.29999999999995,10.3600000000006
Sep 2016,494.49,19.83,66.82,89.96,21.42,31.52,0.19,0.03,21.23,0,6.43,0,453.42,0.36,13.57,10.64,478.0,1397.7,9910.98,-29.3499999999999,12.1599999999999
Oct 2016,251.35,10.08,58.07,68.8,6.84,13.39,0.19,0.03,10.79,0,5.59,0,230.48,0.31,5.27,3.24,239.29,1374.18,9927.85,-23.52,16.8700000000008
Nov 2016,534.5,21.44,47.1,68.47,5.56,10.28,0.19,0.03,22.95,0,4.54,0,490.11,0.25,4.55,0.0,494.91,1362.51,9940.84,-11.6700000000001,12.9899999999998
Dec 2016,81.82,3.28,42.45,97.08,5.56,61.23,0.19,0.03,3.51,0,4.09,0,75.03,0.23,4.55,0.0,79.8,1353.41,9968.18,-9.09999999999991,27.3400000000001
Jan 2017,365.64,14.66,40.05,50.77,5.57,5.69,0.19,0.03,15.7,0,3.86,0,335.28,0.22,4.55,0.0,340.04,1293.35,9975.62,-60.0600000000002,7.44000000000051
Feb 2017,150.27,6.03,50.58,74.91,5.57,29.01,0.19,0.03,6.45,0,4.87,0,137.79,0.27,4.55,0.0,142.61,1288.82,9995.03,-4.529999999999969,19.409999999999897
