date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,20.03,0.05,0,0,0.01,0.92,3.58,0.02,0.06,0,0.95,0,19.91,0.01,2.65,0.0,22.57,0,-13792.05,0,0.0
Feb 2016,5.36,0.05,0,0,0.01,0.92,3.6,0.03,0.03,0,0.92,0,5.28,0.04,2.66,0.0,7.99,0,-13794.59,0,-2.54000000000087
Mar 2016,83.54,0.63,0,0,0.01,0.92,17.1,3.91,0.4,0,1.4,0,82.51,0.14,12.28,0.0,94.92,0,-13797.22,0,-2.6299999999992
Apr 2016,11.19,0.07,0,0,0.01,0.92,105.49,28.17,0.07,0,0.9,0,11.05,0.09,76.4,0.17,87.71,0,-13808.6,0,-11.380000000000999
May 2016,126.9,0.54,0,0,0.0,0.92,117.46,31.47,0.37,0,1.32,0,125.99,0.13,85.07,0.2,211.39,0,-13885.13,0,-76.5299999999988
Jun 2016,36.42,0.26,0,0,0.0,0.92,152.49,41.14,0.18,0,1.01,0,35.98,0.16,110.43,0.25,146.82,0,-13969.62,0,-84.49000000000159
Jul 2016,951.31,2.66,0,0,0.01,0.92,81.52,21.55,1.89,0,3.47,0,946.75,0.1,59.06,0.22,1006.13,0,-14080.02,0,-110.4
Aug 2016,529.7,2.26,0,0,0.01,0.92,94.57,25.17,1.61,0,3.07,0,525.83,0.1,68.49,0.19,594.61,0,-14134.84,0,-54.8199999999997
Sep 2016,300.88,0.8,0,0,0.0,0.92,99.56,26.53,0.69,0,1.62,0,299.39,0.09,72.12,0.17,371.76,0,-14199.75,0,-64.9099999999999
Oct 2016,176.07,0.47,0,0,0.01,0.92,74.47,19.61,0.34,0,1.34,0,175.26,0.04,53.94,0.11,229.35,0,-14270.63,0,-70.8799999999992
Nov 2016,301.32,1.23,0,0,0.01,0.92,3.96,0.13,0.8,0,2.12,0,299.29,0.02,2.92,0.0,302.23,0,-14323.91,0,-53.280000000000705
Dec 2016,35.5,0.2,0,0,0.01,0.92,3.58,0.02,0.13,0,1.1,0,35.17,0.01,2.65,0.0,37.83,0,-14324.82,0,-0.9099999999998539
Jan 2017,240.4,0.76,0,0,0.01,0.92,3.58,0.02,0.51,0,1.66,0,239.13,0.01,2.65,0.0,241.79,0,-14327.15,0,-2.3299999999999303
Feb 2017,170.58,0.72,0,0,0.01,0.92,3.58,0.02,0.44,0,1.6,0,169.42,0.02,2.65,0.0,172.09,0,-14328.54,0,-1.39000000000124
Mar 2017,454.9,1.57,0,0,0.01,0.92,3.62,0.04,0.99,0,2.36,0,452.34,0.12,2.68,0.0,455.14,0,-14330.05,0,-1.5099999999984
Apr 2017,164.05,0.86,0,0,0.01,0.92,58.78,15.34,0.59,0,1.73,0,162.6,0.04,42.53,0.1,205.27,0,-14330.28,0,-0.23000000000138196
May 2017,896.63,2.53,0,0,0.01,0.92,58.2,15.08,1.78,0,3.36,0,892.32,0.09,42.2,0.18,934.79,0,-14371.5,0,-41.2199999999993
Jun 2017,551.36,1.25,0,0,0.0,0.92,105.01,28.03,0.91,0,2.07,0,549.2,0.1,76.06,0.22,625.58,0,-14409.66,0,-38.1599999999999
Jul 2017,1050.36,2.87,0,0,0.01,0.92,74.73,19.67,2.03,0,3.69,0,1045.45,0.1,54.15,0.21,1099.91,0,-14483.88,0,-74.21999999999929
Aug 2017,708.63,2.19,0,0,0.01,0.92,87.1,23.08,1.63,0,3.01,0,704.82,0.09,63.11,0.2,768.22,0,-14533.44,0,-49.560000000001295
Sep 2017,594.87,1.39,0,0,0.0,0.92,74.33,19.54,1.06,0,2.22,0,592.42,0.08,53.87,0.16,646.53,0,-14593.02,0,-59.57999999999989
Oct 2017,901.33,2.44,0,0,0.01,0.92,5.1,0.46,1.63,0,3.3,0,897.26,0.05,3.73,0.05,901.08,0,-14644.67,0,-51.6499999999996
Nov 2017,68.32,0.52,0,0,0.01,0.92,3.58,0.02,0.34,0,1.41,0,67.46,0.02,2.65,0.0,70.13,0,-14644.43,0,0.239999999999782
