Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Aug 2018,Tularosa-Sacramento-Salt,GFDL,High,High,662.77,0.35,0,0,0.79,0.45,1.38,0.41,1.93,0,0,0,660.49,0,1.32,2.35,664.16,0,-768.67,0,-1.76999999999998,No Change
Sep 2018,Tularosa-Sacramento-Salt,GFDL,High,High,1360.98,0.29,0,0,0.49,0.35,0.87,0.16,3.97,0,0,0,1356.72,0.15,0.86,1.92,1359.64,0,-770.06,0,-1.38999999999999,No Change
Oct 2018,Tularosa-Sacramento-Salt,GFDL,High,High,667.37,0.17,0,0,0.51,0.35,0.93,0.19,1.95,0,0,0,665.26,0,0.9,1.18,667.34,0,-768.72,0,1.33999999999992,No Change
Nov 2018,Tularosa-Sacramento-Salt,GFDL,High,High,190.26,0.06,0,0,0.36,0.31,0.64,0.04,0.55,0,0,0,189.65,0.01,0.65,0,190.3,0,-768.69,0,0.0299999999999727,No Change
Dec 2018,Tularosa-Sacramento-Salt,GFDL,High,High,49.52,0,0,0,0.19,0.23,0.64,0.04,0.14,0,0,0,49.38,0.04,0.56,0,49.97,0,-768.73,0,-0.0399999999999636,No Change
Jan 2019,Tularosa-Sacramento-Salt,GFDL,High,High,175.53,0.06,0,0,0.36,0.31,0.64,0.04,0.51,0,0,0,174.96,0.01,0.65,0,175.61,0,-769.19,0,-0.460000000000036,No Change
Feb 2019,Tularosa-Sacramento-Salt,GFDL,High,High,226.27,0.06,0,0,0.36,0.31,0.65,0.05,0.66,0,0,0,225.55,0.01,0.65,0.02,226.23,0,-769.27,0,-0.0799999999999272,No Change
Mar 2019,Tularosa-Sacramento-Salt,GFDL,High,High,15.29,0,0,0,0.07,0.16,1.26,0.25,0.04,0,0,0,15.24,0.09,0.92,0.99,17.25,0,-769.24,0,0.0299999999999727,No Change
Apr 2019,Tularosa-Sacramento-Salt,GFDL,High,High,153.28,0.33,0,0,0.76,0.43,1.34,0.39,0.45,0,0,0,152.5,0,1.28,1.84,155.62,0,-771.19,0,-1.95000000000005,No Change
May 2019,Tularosa-Sacramento-Salt,GFDL,High,High,104.96,0.3,0,0,0.68,0.39,1.51,0.45,0.31,0,0,0,104.36,0,1.36,2.27,107.99,0,-773.54,0,-2.34999999999991,No Change
Jun 2019,Tularosa-Sacramento-Salt,GFDL,High,High,126.92,0.39,0,0,0.8,0.41,1.73,0.56,0.37,0,0,0,126.16,0,1.55,2.87,130.59,0,-776.57,0,-3.03000000000009,No Change
Jul 2019,Tularosa-Sacramento-Salt,GFDL,High,High,581.89,0.41,0,0,0.87,0.47,1.54,0.49,1.7,0,0,0,579.78,0,1.46,2.7,583.94,0,-780.24,0,-3.66999999999996,No Change
Aug 2019,Tularosa-Sacramento-Salt,GFDL,High,High,1561.37,0.37,0,0,0.55,0.37,0.97,0.2,4.55,0,0,0,1556.45,0.19,0.95,2.28,1559.87,0,-782.3,0,-2.05999999999995,No Change
Sep 2019,Tularosa-Sacramento-Salt,GFDL,High,High,1800.01,0.38,0,0,0.42,0.33,0.75,0.1,5.25,0,0,0,1794.38,0.29,0.75,1.8,1797.23,0,-780.79,0,1.50999999999999,No Change
Oct 2019,Tularosa-Sacramento-Salt,GFDL,High,High,442.69,0.15,0,0,0.48,0.33,0.93,0.19,1.29,0,0,0,441.25,0,0.9,0.69,442.83,0,-778.01,0,2.77999999999997,No Change
Nov 2019,Tularosa-Sacramento-Salt,GFDL,High,High,78.05,0.03,0,0,0.33,0.29,0.64,0.04,0.23,0,0,0,77.78,0,0.63,0,78.42,0,-778.16,0,-0.149999999999977,No Change
Dec 2019,Tularosa-Sacramento-Salt,GFDL,High,High,386.19,0.06,0,0,0.36,0.31,0.64,0.04,1.13,0,0,0,385,0.01,0.65,0,385.66,0,-778.53,0,-0.370000000000005,No Change
Jan 2020,Tularosa-Sacramento-Salt,GFDL,High,High,97.61,0.05,0,0,0.36,0.31,0.64,0.04,0.28,0,0,0,97.27,0,0.65,0,97.92,0,-778,0,0.529999999999973,No Change
Feb 2020,Tularosa-Sacramento-Salt,GFDL,High,High,440.08,0.06,0,0,0.36,0.31,0.64,0.04,1.28,0,0,0,438.74,0.01,0.65,0,439.4,0,-778.32,0,-0.32000000000005,No Change
Mar 2020,Tularosa-Sacramento-Salt,GFDL,High,High,114.2,0.05,0,0,0.36,0.31,0.64,0.04,0.33,0,0,0,113.81,0,0.65,0,114.47,0,-777.64,0,0.680000000000064,No Change
Apr 2020,Tularosa-Sacramento-Salt,GFDL,High,High,39.33,0.01,0,0,0.22,0.23,1.09,0.22,0.11,0,0,0,39.21,0.01,0.88,0.84,40.94,0,-777.9,0,-0.259999999999991,No Change
May 2020,Tularosa-Sacramento-Salt,GFDL,High,High,187.42,0.38,0,0,0.83,0.45,1.45,0.45,0.55,0,0,0,186.49,0,1.38,2.25,190.12,0,-779.5,0,-1.60000000000002,No Change
Jun 2020,Tularosa-Sacramento-Salt,GFDL,High,High,551.79,0.38,0,0,0.83,0.45,1.44,0.44,1.61,0,0,0,549.8,0,1.38,2.72,553.9,0,-782.21,0,-2.71000000000004,No Change
Jul 2020,Tularosa-Sacramento-Salt,GFDL,High,High,421.1,0.42,0,0,0.89,0.47,1.56,0.5,1.23,0,0,0,419.45,0,1.48,2.62,423.55,0,-784.32,0,-2.11000000000001,No Change
Aug 2020,Tularosa-Sacramento-Salt,GFDL,High,High,1071.98,0.26,0,0,0.66,0.41,1.17,0.3,3.12,0,0,0,1068.59,0.01,1.12,2.3,1072.02,0,-786.77,0,-2.44999999999993,No Change
Sep 2020,Tularosa-Sacramento-Salt,GFDL,High,High,1015,0.22,0,0,0.56,0.37,0.97,0.21,2.96,0,0,0,1011.83,0.03,0.95,1.82,1014.63,0,-786.81,0,-0.0399999999999636,No Change
Oct 2020,Tularosa-Sacramento-Salt,GFDL,High,High,3.51,0,0,0,0.06,0.18,1.3,0.25,0.01,0,0,0,3.5,0.12,0.93,1.11,5.66,0,-786.44,0,0.369999999999891,No Change
Nov 2020,Tularosa-Sacramento-Salt,GFDL,High,High,9.74,0,0,0,0.03,0.16,0.64,0.04,0.03,0,0,0,9.71,0.12,0.48,0,10.32,0,-788.59,0,-2.14999999999998,No Change
Dec 2020,Tularosa-Sacramento-Salt,GFDL,High,High,7.94,0,0,0,0.04,0.16,0.64,0.04,0.02,0,0,0,7.91,0.12,0.48,0,8.51,0,-789.16,0,-0.569999999999936,No Change
Jan 2021,Tularosa-Sacramento-Salt,GFDL,High,High,62.39,0.01,0,0,0.28,0.27,0.64,0.04,0.18,0,0,0,62.19,0,0.61,0,62.8,0,-789.74,0,-0.580000000000041,No Change
Feb 2021,Tularosa-Sacramento-Salt,GFDL,High,High,74.39,0.05,0,0,0.36,0.31,0.64,0.04,0.22,0,0,0,74.12,0,0.65,0,74.77,0,-790.16,0,-0.419999999999959,No Change
Mar 2021,Tularosa-Sacramento-Salt,GFDL,High,High,4.44,0,0,0,0.05,0.17,0.99,0.15,0.01,0,0,0,4.43,0.11,0.72,0.61,5.87,0,-790.54,0,-0.379999999999995,No Change
Apr 2021,Tularosa-Sacramento-Salt,GFDL,High,High,5.85,0,0,0,0.08,0.2,1.49,0.31,0.02,0,0,0,5.83,0.12,1.07,2.02,9.03,0,-791.97,0,-1.43000000000006,No Change
May 2021,Tularosa-Sacramento-Salt,GFDL,High,High,249.23,0.43,0,0,0.9,0.48,1.57,0.5,0.73,0,0,0,248.08,0,1.49,2.66,252.23,0,-795.16,0,-3.18999999999994,No Change
Jun 2021,Tularosa-Sacramento-Salt,GFDL,High,High,128.17,0.33,0,0,0.72,0.39,1.78,0.56,0.37,0,0,0,127.47,0,1.55,3.03,132.05,0,-798.16,0,-3,No Change
Jul 2021,Tularosa-Sacramento-Salt,GFDL,High,High,602.95,0.41,0,0,0.88,0.47,1.56,0.49,1.76,0,0,0,600.78,0,1.48,2.73,605,0,-802.04,0,-3.88,No Change
Aug 2021,Tularosa-Sacramento-Salt,GFDL,High,High,317.23,0.44,0,0,0.93,0.49,1.6,0.52,0.92,0,0,0,315.87,0,1.52,2.48,319.87,0,-804.09,0,-2.05000000000007,No Change
Sep 2021,Tularosa-Sacramento-Salt,GFDL,High,High,1101.7,0.24,0,0,0.57,0.38,0.98,0.21,3.21,0,0,0,1098.26,0.05,0.96,1.87,1101.13,0,-806.73,0,-2.63999999999999,No Change
Oct 2021,Tularosa-Sacramento-Salt,GFDL,High,High,456.85,0.27,0,0,0.68,0.41,1.19,0.31,1.33,0,0,0,455.25,0,1.15,1.46,457.85,0,-806.16,0,0.57000000000005,No Change
Nov 2021,Tularosa-Sacramento-Salt,GFDL,High,High,102.78,0.05,0,0,0.36,0.31,0.65,0.04,0.3,0,0,0,102.43,0,0.65,0,103.09,0,-807.16,0,-1,No Change
Dec 2021,Tularosa-Sacramento-Salt,GFDL,High,High,489.74,0.06,0,0,0.36,0.31,0.65,0.04,1.43,0,0,0,488.25,0.01,0.65,0,488.92,0,-807.47,0,-0.310000000000059,No Change
Jan 2022,Tularosa-Sacramento-Salt,GFDL,High,High,190.94,0.06,0,0,0.36,0.31,0.65,0.04,0.56,0,0,0,190.33,0.01,0.65,0,190.99,0,-806.64,0,0.830000000000041,No Change
Feb 2022,Tularosa-Sacramento-Salt,GFDL,High,High,232.48,0.06,0,0,0.36,0.31,0.65,0.04,0.68,0,0,0,231.75,0.01,0.65,0,232.41,0,-806.69,0,-0.0500000000000682,No Change
Mar 2022,Tularosa-Sacramento-Salt,GFDL,High,High,34.37,0,0,0,0.14,0.21,0.65,0.04,0.1,0,0,0,34.27,0.07,0.54,0.01,34.89,0,-806.62,0,0.07000000000005,No Change
Apr 2022,Tularosa-Sacramento-Salt,GFDL,High,High,70.99,0.1,0,0,0.35,0.26,1.32,0.33,0.21,0,0,0,70.69,0,1.09,1.29,73.07,0,-807.13,0,-0.509999999999991,No Change
May 2022,Tularosa-Sacramento-Salt,GFDL,High,High,93.89,0.26,0,0,0.63,0.37,1.58,0.46,0.27,0,0,0,93.36,0,1.38,2.49,97.23,0,-809.21,0,-2.08000000000004,No Change
Jun 2022,Tularosa-Sacramento-Salt,GFDL,High,High,257.5,0.44,0,0,0.93,0.48,1.61,0.52,0.75,0,0,0,256.31,0,1.52,2.74,260.57,0,-812.54,0,-3.32999999999993,No Change
Jul 2022,Tularosa-Sacramento-Salt,GFDL,High,High,1315.08,0.38,0,0,0.63,0.4,1.08,0.26,3.83,0,0,0,1310.86,0.15,1.06,2.55,1314.61,0,-815.61,0,-3.07000000000005,No Change
Aug 2022,Tularosa-Sacramento-Salt,GFDL,High,High,1403.54,0.33,0,0,0.58,0.38,1.04,0.23,4.09,0,0,0,1399.12,0.13,1,2.27,1402.53,0,-815.15,0,0.460000000000036,No Change
Sep 2022,Tularosa-Sacramento-Salt,GFDL,High,High,666.62,0.27,0,0,0.68,0.41,1.16,0.3,1.94,0,0,0,664.41,0,1.12,1.91,667.44,0,-814.13,0,1.01999999999998,No Change
Oct 2022,Tularosa-Sacramento-Salt,GFDL,High,High,170.43,0.27,0,0,0.66,0.39,1.22,0.33,0.5,0,0,0,169.66,0,1.16,1.17,171.99,0,-814.96,0,-0.830000000000041,No Change
Nov 2022,Tularosa-Sacramento-Salt,GFDL,High,High,423.2,0.06,0,0,0.36,0.31,0.65,0.04,1.23,0,0,0,421.9,0.01,0.65,0,422.57,0,-816.52,0,-1.55999999999995,No Change
Dec 2022,Tularosa-Sacramento-Salt,GFDL,High,High,147.72,0.05,0,0,0.36,0.31,0.65,0.04,0.43,0,0,0,147.23,0,0.65,0,147.89,0,-815.89,0,0.629999999999995,No Change
Jan 2023,Tularosa-Sacramento-Salt,GFDL,High,High,190.71,0.06,0,0,0.37,0.32,0.65,0.04,0.56,0,0,0,190.1,0.01,0.65,0,190.76,0,-816.06,0,-0.169999999999959,No Change
Feb 2023,Tularosa-Sacramento-Salt,GFDL,High,High,218.32,0.06,0,0,0.37,0.32,0.65,0.04,0.64,0,0,0,217.63,0.01,0.66,0,218.29,0,-816.11,0,-0.0500000000000682,No Change
Mar 2023,Tularosa-Sacramento-Salt,GFDL,High,High,296.04,0.06,0,0,0.37,0.32,0.65,0.04,0.86,0,0,0,295.12,0.01,0.66,0,295.79,0,-816.08,0,0.0299999999999727,No Change
Apr 2023,Tularosa-Sacramento-Salt,GFDL,High,High,74.29,0.15,0,0,0.44,0.29,1.34,0.35,0.22,0,0,0,73.92,0,1.14,1.4,76.47,0,-815.83,0,0.25,No Change
May 2023,Tularosa-Sacramento-Salt,GFDL,High,High,47.07,0.05,0,0,0.33,0.28,1.63,0.41,0.14,0,0,0,46.88,0,1.28,2.45,50.61,0,-818.01,0,-2.17999999999995,No Change
Jun 2023,Tularosa-Sacramento-Salt,GFDL,High,High,234.87,0.46,0,0,0.95,0.49,1.7,0.56,0.68,0,0,0,233.73,0,1.59,2.89,238.21,0,-821.55,0,-3.53999999999996,No Change
Jul 2023,Tularosa-Sacramento-Salt,GFDL,High,High,1575.46,0.45,0,0,0.62,0.4,1.09,0.26,4.59,0,0,0,1570.41,0.24,1.05,2.57,1574.28,0,-824.89,0,-3.34000000000003,No Change
Aug 2023,Tularosa-Sacramento-Salt,GFDL,High,High,392.61,0.39,0,0,0.86,0.47,1.49,0.46,1.14,0,0,0,391.07,0,1.42,2.32,394.81,0,-823.71,0,1.17999999999995,No Change
Sep 2023,Tularosa-Sacramento-Salt,GFDL,High,High,660.36,0.26,0,0,0.66,0.4,1.16,0.3,1.92,0,0,0,658.18,0,1.12,1.76,661.06,0,-825.91,0,-2.19999999999993,No Change
Oct 2023,Tularosa-Sacramento-Salt,GFDL,High,High,379.21,0.24,0,0,0.62,0.38,1.15,0.29,1.11,0,0,0,377.86,0,1.1,1.2,380.17,0,-826.61,0,-0.700000000000045,No Change
Nov 2023,Tularosa-Sacramento-Salt,GFDL,High,High,173.63,0.06,0,0,0.37,0.32,0.65,0.04,0.51,0,0,0,173.07,0.01,0.66,0,173.73,0,-827.56,0,-0.949999999999932,No Change
Dec 2023,Tularosa-Sacramento-Salt,GFDL,High,High,11.6,0,0,0,0.04,0.16,0.65,0.04,0.03,0,0,0,11.56,0.12,0.48,0,12.17,0,-827.66,0,-0.100000000000023,No Change
Jan 2024,Tularosa-Sacramento-Salt,GFDL,High,High,103.16,0.05,0,0,0.37,0.32,0.65,0.04,0.3,0,0,0,102.81,0,0.66,0,103.47,0,-828.24,0,-0.580000000000041,No Change
Feb 2024,Tularosa-Sacramento-Salt,GFDL,High,High,38.29,0,0,0,0.17,0.22,0.65,0.04,0.11,0,0,0,38.18,0.06,0.55,0,38.79,0,-828.54,0,-0.299999999999955,No Change
Mar 2024,Tularosa-Sacramento-Salt,GFDL,High,High,107.21,0.15,0,0,0.43,0.28,1.02,0.24,0.31,0,0,0,106.75,0,0.93,0.89,108.58,0,-829.04,0,-0.5,No Change
Apr 2024,Tularosa-Sacramento-Salt,GFDL,High,High,35.1,0.02,0,0,0.25,0.23,1.35,0.31,0.1,0,0,0,34.98,0,1.06,1.32,37.36,0,-830.4,0,-1.36000000000001,No Change
May 2024,Tularosa-Sacramento-Salt,GFDL,High,High,31.38,0.01,0,0,0.24,0.25,1.63,0.38,0.09,0,0,0,31.27,0.02,1.23,2.42,34.95,0,-832.66,0,-2.25999999999999,No Change
Jun 2024,Tularosa-Sacramento-Salt,GFDL,High,High,273.3,0.46,0,0,0.95,0.49,1.65,0.54,0.8,0,0,0,272.04,0,1.57,2.86,276.47,0,-836.24,0,-3.58000000000004,No Change
Jul 2024,Tularosa-Sacramento-Salt,GFDL,High,High,788.05,0.37,0,0,0.82,0.46,1.44,0.43,2.3,0,0,0,785.39,0,1.37,2.67,789.43,0,-839.41,0,-3.16999999999996,No Change
Aug 2024,Tularosa-Sacramento-Salt,GFDL,High,High,747.77,0.34,0,0,0.78,0.44,1.37,0.4,2.18,0,0,0,745.26,0,1.31,2.35,748.91,0,-840.78,0,-1.37,No Change
Sep 2024,Tularosa-Sacramento-Salt,GFDL,High,High,1817.06,0.39,0,0,0.42,0.34,0.73,0.08,5.3,0,0,0,1811.37,0.3,0.73,1.76,1814.17,0,-841.93,0,-1.14999999999998,No Change
Oct 2024,Tularosa-Sacramento-Salt,GFDL,High,High,515.71,0.19,0,0,0.54,0.35,1.01,0.22,1.5,0,0,0,514.02,0,0.97,1.02,516.02,0,-839.04,0,2.88999999999999,No Change
Nov 2024,Tularosa-Sacramento-Salt,GFDL,High,High,62.57,0.02,0,0,0.32,0.29,0.65,0.04,0.18,0,0,0,62.36,0,0.63,0,62.99,0,-839.34,0,-0.300000000000068,No Change
Dec 2024,Tularosa-Sacramento-Salt,GFDL,High,High,100.01,0.05,0,0,0.37,0.32,0.65,0.04,0.29,0,0,0,99.67,0,0.66,0,100.33,0,-839.77,0,-0.42999999999995,No Change
Jan 2025,Tularosa-Sacramento-Salt,GFDL,High,High,11.78,0,0,0,0.05,0.17,0.65,0.04,0.03,0,0,0,11.74,0.12,0.49,0,12.35,0,-840.09,0,-0.32000000000005,No Change
Feb 2025,Tularosa-Sacramento-Salt,GFDL,High,High,192.47,0.06,0,0,0.37,0.32,0.65,0.04,0.56,0,0,0,191.85,0.01,0.66,0,192.52,0,-840.66,0,-0.569999999999936,No Change
Mar 2025,Tularosa-Sacramento-Salt,GFDL,High,High,318.13,0.07,0,0,0.38,0.32,0.68,0.06,0.93,0,0,0,317.14,0.01,0.68,0.08,317.9,0,-840.71,0,-0.0500000000000682,No Change
Apr 2025,Tularosa-Sacramento-Salt,GFDL,High,High,153.1,0.24,0,0,0.56,0.32,1.22,0.33,0.45,0,0,0,152.42,0,1.12,1.06,154.61,0,-840.48,0,0.230000000000018,No Change
May 2025,Tularosa-Sacramento-Salt,GFDL,High,High,117.54,0.31,0,0,0.71,0.4,1.55,0.46,0.34,0,0,0,116.88,0,1.39,2.34,120.61,0,-841.98,0,-1.5,No Change
Jun 2025,Tularosa-Sacramento-Salt,GFDL,High,High,232.59,0.47,0,0,0.97,0.5,1.66,0.55,0.68,0,0,0,231.45,0,1.58,2.86,235.89,0,-845.06,0,-3.07999999999993,No Change
Jul 2025,Tularosa-Sacramento-Salt,GFDL,High,High,663.34,0.4,0,0,0.86,0.47,1.52,0.47,1.93,0,0,0,661.01,0,1.44,2.74,665.19,0,-848.36,0,-3.30000000000007,No Change
Aug 2025,Tularosa-Sacramento-Salt,GFDL,High,High,931.34,0.29,0,0,0.7,0.42,1.27,0.34,2.71,0,0,0,928.33,0.01,1.21,2.3,931.84,0,-850.21,0,-1.85000000000002,No Change
Sep 2025,Tularosa-Sacramento-Salt,GFDL,High,High,883.48,0.22,0,0,0.6,0.39,1.07,0.25,2.58,0,0,0,880.69,0,1.04,1.79,883.52,0,-850.72,0,-0.509999999999991,No Change
Oct 2025,Tularosa-Sacramento-Salt,GFDL,High,High,165.6,0.26,0,0,0.64,0.38,1.23,0.33,0.48,0,0,0,164.86,0,1.16,1.06,167.08,0,-850.76,0,-0.0399999999999636,No Change
Nov 2025,Tularosa-Sacramento-Salt,GFDL,High,High,572.14,0.07,0,0,0.37,0.32,0.65,0.04,1.67,0,0,0,570.41,0.02,0.66,0,571.09,0,-852.24,0,-1.48000000000002,No Change
Dec 2025,Tularosa-Sacramento-Salt,GFDL,High,High,90.21,0.05,0,0,0.37,0.32,0.65,0.04,0.26,0,0,0,89.9,0,0.66,0,90.56,0,-851.18,0,1.06000000000006,No Change
Jan 2026,Tularosa-Sacramento-Salt,GFDL,High,High,38.24,0,0,0,0.16,0.22,0.65,0.04,0.11,0,0,0,38.12,0.06,0.55,0,38.73,0,-851.53,0,-0.350000000000023,No Change
Feb 2026,Tularosa-Sacramento-Salt,GFDL,High,High,77.97,0.03,0,0,0.32,0.3,0.65,0.04,0.23,0,0,0,77.72,0,0.64,0,78.35,0,-852.03,0,-0.5,No Change
Mar 2026,Tularosa-Sacramento-Salt,GFDL,High,High,128.45,0.08,0,0,0.39,0.32,0.72,0.08,0.37,0,0,0,128,0,0.72,0.14,128.86,0,-852.41,0,-0.379999999999995,No Change
