Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2018,San_Juan,UKMO,High,No Change,107.06,0.2,42.59,40.39,5.93,5.91,0.62,0.09,2.48,0,-0.28,0,104.38,2.65,5.07,0,112.1,1293.35,6460.69,-60.0600000000002,0.769999999999527,Low
Feb 2018,San_Juan,UKMO,High,No Change,119.71,0.68,45.75,66.52,5.94,29.23,0.62,0.09,2.78,0,0.46,0,116.26,2.74,5.07,0,124.07,1288.82,6462.37,-4.52999999999997,1.68000000000029,Low
Mar 2018,San_Juan,UKMO,High,No Change,378.16,2.11,102.7,98.39,5.94,4.03,0.62,0.09,8.77,0,0.91,0,367.28,3.6,5.07,0,375.95,1260.98,6465.08,-27.8399999999999,2.71000000000004,Low
Apr 2018,San_Juan,UKMO,High,No Change,243.11,0.63,347.08,277.74,40.81,1.88,0.62,0.09,5.64,0,11.44,0,236.84,19.6,5.73,3.26,265.43,1258.34,6474.24,-2.6400000000001,9.15999999999985,Low
May 2018,San_Juan,UKMO,High,No Change,21.87,0.02,686.79,533.26,94.87,10.73,0.62,0.09,0.51,0,20.94,0,21.34,48.47,17.32,14.26,101.38,1292.07,6487.54,33.73,13.3000000000002,Low
Jun 2018,San_Juan,UKMO,High,No Change,477.48,0.37,360.14,249.93,97.12,14.75,0.62,0.09,11.07,0,2.28,0,466.04,25.94,22.56,17.26,531.8,1359.42,6494.2,67.3500000000001,6.65999999999985,Low
Jul 2018,San_Juan,UKMO,High,No Change,344.75,1.31,148.57,103.11,57.47,20.54,0.62,0.09,8,0,-3.31,0,335.44,13.15,30.16,18.4,397.16,1419.75,6489.76,60.3299999999999,-4.4399999999996,Low
Aug 2018,San_Juan,UKMO,High,No Change,1146.99,15.96,88.17,109.29,34.57,43.12,0.62,0.09,26.6,0,-3.33,0,1104.43,6.71,21.33,15.46,1147.93,1427.05,6475.51,7.29999999999995,-14.25,Low
Sep 2018,San_Juan,UKMO,High,No Change,675.11,7.33,50.01,66.87,24.5,32.95,0.62,0.09,15.66,0,-3.4,0,652.12,2.31,15.6,11.3,681.34,1397.7,6482.79,-29.3499999999999,7.27999999999975,Low
Oct 2018,San_Juan,UKMO,High,No Change,0,0,43.88,44.87,8.78,14.29,0.62,0.09,0,0,-0.06,0,0,4.57,6.7,3.67,14.93,1374.18,6483.22,-23.52,0.430000000000291,Low
Nov 2018,San_Juan,UKMO,High,No Change,281.47,0.97,54.85,60.34,5.95,10.5,0.62,0.09,6.53,0,-3.44,0,273.97,3.47,5.08,0,282.52,1362.51,6478.97,-11.6700000000001,-4.25,Low
Dec 2018,San_Juan,UKMO,High,No Change,208.86,0.12,46.83,101.96,5.95,61.45,0.62,0.09,4.84,0,-2.38,0,203.89,2.88,5.09,0,211.85,1353.41,6481.53,-9.09999999999991,2.55999999999949,Low
Jan 2019,San_Juan,UKMO,High,No Change,52.65,0.1,46.04,42.24,5.95,5.92,0.62,0.09,1.22,0,0.89,0,51.33,2.97,5.09,0,59.39,1293.35,6483.47,-60.0600000000002,1.94000000000051,Low
Feb 2019,San_Juan,UKMO,High,No Change,33.41,0.19,63.36,80.74,5.96,29.24,0.62,0.09,0.77,0,2.48,0,32.45,3.6,5.09,0,41.14,1288.82,6485.06,-4.52999999999997,1.59000000000015,Low
Mar 2019,San_Juan,UKMO,High,No Change,148.11,0.83,135.31,122.61,5.96,4.04,0.62,0.09,3.43,0,5.66,0,143.85,5.95,5.09,0,154.89,1260.98,6487.79,-27.8399999999999,2.72999999999956,Low
Apr 2019,San_Juan,UKMO,High,No Change,80.86,0.21,332.26,261.27,40.59,1.78,0.62,0.09,1.88,0,12.85,0,78.77,19.56,5.6,2.51,106.43,1258.34,6496.35,-2.6400000000001,8.5600000000004,Low
May 2019,San_Juan,UKMO,High,No Change,17.38,0.02,746.1,585.98,95.78,11.13,0.63,0.09,0.4,0,23.09,0,16.96,52.39,17.83,14.68,101.86,1292.07,6508.04,33.73,11.6899999999996,Low
Jun 2019,San_Juan,UKMO,High,No Change,403.66,0.31,413.92,295.62,99.44,15.77,0.63,0.09,9.36,0,4.68,0,393.98,30.25,23.88,17.83,465.95,1359.42,6516.33,67.3500000000001,8.28999999999996,Low
Jul 2019,San_Juan,UKMO,High,No Change,522.64,5.46,115.75,78.96,54,19.04,0.63,0.09,12.12,0,-2.95,0,505.06,10.25,28.19,17.94,561.44,1419.75,6512,60.3299999999999,-4.32999999999993,Low
Aug 2019,San_Juan,UKMO,High,No Change,720.06,9.49,64.13,78.31,38.04,44.64,0.63,0.09,16.7,0,-2.98,0,693.87,4.88,23.29,15.42,737.46,1427.05,6502.69,7.29999999999995,-9.3100000000004,Low
Sep 2019,San_Juan,UKMO,High,No Change,516.2,4.95,42.98,55.47,27.95,34.45,0.63,0.09,11.97,0,-3.02,0,499.28,1.98,17.55,12.04,530.85,1397.7,6500.46,-29.3499999999999,-2.22999999999956,Low
Oct 2019,San_Juan,UKMO,High,No Change,35.4,0.01,34.58,36.94,9.29,14.5,0.62,0.09,0.82,0,-0.62,0,34.56,3.49,6.99,4.04,49.08,1374.18,6496.84,-23.52,-3.61999999999989,Low
Nov 2019,San_Juan,UKMO,High,No Change,167.02,0.09,42.98,46.73,5.97,10.51,0.62,0.09,3.87,0,-2.23,0,163.06,3.1,5.1,0,171.26,1362.51,6492.47,-11.6700000000001,-4.36999999999989,Low
Dec 2019,San_Juan,UKMO,High,No Change,101.43,0.06,36.27,90.38,5.97,61.46,0.63,0.09,2.35,0,-1.26,0,99.02,2.69,5.1,0,106.82,1353.41,6493.58,-9.09999999999991,1.10999999999967,Low
Jan 2020,San_Juan,UKMO,High,No Change,135.29,0.25,36.27,35.16,5.98,5.93,0.63,0.09,3.14,0,-0.59,0,131.9,1.91,5.1,0,138.91,1293.35,6494.15,-60.0600000000002,0.569999999999709,Low
Feb 2020,San_Juan,UKMO,High,No Change,60.98,0.34,40.42,60.77,5.98,29.25,0.63,0.09,1.41,0,0.88,0,59.22,2.38,5.1,0,66.71,1288.82,6496.16,-4.52999999999997,2.01000000000022,Low
Mar 2020,San_Juan,UKMO,High,No Change,34.93,0.2,43.09,37.4,5.98,4.05,0.63,0.09,0.81,0,1.39,0,33.92,2.57,5.1,0,41.6,1260.98,6497.92,-27.8399999999999,1.76000000000022,Low
Apr 2020,San_Juan,UKMO,High,No Change,49.1,0.13,86.88,39.23,42.46,2.59,0.63,0.09,1.14,0,2.41,0,47.83,5.5,6.67,4.85,64.85,1258.34,6499.58,-2.6400000000001,1.65999999999985,Low
May 2020,San_Juan,UKMO,High,No Change,224.45,0.22,294.4,184.83,94.02,10.39,0.63,0.09,5.21,0,6.19,0,219.03,19.97,16.81,14.66,270.47,1292.07,6497.74,33.73,-1.84000000000015,Low
Jun 2020,San_Juan,UKMO,High,No Change,253.26,0.19,459.58,333.12,100.66,16.31,0.63,0.09,5.87,0,7.8,0,247.19,34.5,24.57,17.78,324.04,1359.42,6493.94,67.3500000000001,-3.80000000000018,Low
Jul 2020,San_Juan,UKMO,High,No Change,1003.63,15.58,102.2,79.46,48.53,16.66,0.63,0.09,23.28,0,-2.6,0,964.78,9.05,25.11,17.81,1016.75,1419.75,6489.29,60.3299999999999,-4.64999999999964,Low
Aug 2020,San_Juan,UKMO,High,No Change,595.91,6.17,71.56,80.4,40.06,45.51,0.63,0.09,13.82,0,-2.66,0,575.92,5.44,24.44,15.52,621.33,1427.05,6491.62,7.29999999999995,2.32999999999993,Low
Sep 2020,San_Juan,UKMO,High,No Change,1460.44,22.37,59.6,93.89,18.23,30.21,0.63,0.09,33.87,0,-2.7,0,1404.21,2.75,12.07,11.25,1430.28,1397.7,6486.71,-29.3499999999999,-4.90999999999985,Low
Oct 2020,San_Juan,UKMO,High,No Change,565.12,6.77,69.18,81.12,6.02,13.09,0.63,0.09,13.11,0,-2.78,0,545.24,4.69,5.13,1.57,556.64,1374.18,6506.1,-23.52,19.3900000000003,Low
Nov 2020,San_Juan,UKMO,High,No Change,312.01,1.79,52.77,58.58,5.98,10.51,0.63,0.09,7.24,0,-2.82,0,302.98,3.33,5.1,0,311.42,1362.51,6514.31,-11.6700000000001,8.21000000000004,Low
Dec 2020,San_Juan,UKMO,High,No Change,849.13,12.6,48.12,116.57,5.98,61.46,0.63,0.09,19.69,0,-2.83,0,816.85,2.46,5.1,0,824.41,1353.41,6518.19,-9.09999999999991,3.8799999999992,Low
Jan 2021,San_Juan,UKMO,High,No Change,777.41,10.42,45.56,57.84,5.98,5.93,0.63,0.09,18.03,0,-2.86,0,748.96,0.96,5.1,0,755.02,1293.35,6534.52,-60.0600000000002,16.3300000000008,Low
Feb 2021,San_Juan,UKMO,High,No Change,211.18,1.19,49.21,71.51,5.98,29.25,0.63,0.09,4.9,0,0.08,0,205.09,2.08,5.1,0,212.28,1288.82,6549.15,-4.52999999999997,14.6299999999992,Low
Mar 2021,San_Juan,UKMO,High,No Change,648.82,3.62,119.9,120.23,5.98,4.05,0.63,0.09,15.05,0,-1.05,0,630.15,2.42,5.11,0,637.68,1260.98,6553.6,-27.8399999999999,4.45000000000073,Low
Apr 2021,San_Juan,UKMO,High,No Change,299.89,0.78,417.28,342.45,39.7,1.41,0.63,0.09,6.95,0,14.22,0,292.16,23.09,5.11,0.43,320.78,1258.34,6567.06,-2.6400000000001,13.46,Low
May 2021,San_Juan,UKMO,High,No Change,808.17,0.8,313.77,219.34,85.75,6.76,0.63,0.09,18.74,0,-1.33,0,788.63,17.56,12.17,12.54,830.9,1292.07,6587.28,33.73,20.2199999999993,Low
Jun 2021,San_Juan,UKMO,High,No Change,25.77,0.02,213.23,108.13,100.31,16.16,0.64,0.09,0.6,0,4.03,0,25.15,16.94,24.36,17.24,83.69,1359.42,6591.62,67.3500000000001,4.34000000000015,Low
Jul 2021,San_Juan,UKMO,High,No Change,796.08,12.18,64.53,41.42,49.41,17.05,0.63,0.09,18.46,0,-2.78,0,765.44,5.71,25.6,17.51,814.26,1419.75,6578.46,60.3299999999999,-13.1599999999999,Low
Aug 2021,San_Juan,UKMO,High,No Change,1599.61,27,74.23,110.54,28.27,40.39,0.63,0.09,37.1,0,-2.83,0,1535.51,5.65,17.77,15.02,1573.94,1427.05,6576.09,7.29999999999995,-2.36999999999989,Low
Sep 2021,San_Juan,UKMO,High,No Change,581.02,5.55,65.92,78.21,27.36,34.19,0.63,0.09,13.47,0,-2.94,0,561.99,3.04,17.22,12.07,594.33,1397.7,6594.8,-29.3499999999999,18.71,Low
Oct 2021,San_Juan,UKMO,High,No Change,173.81,0.07,39.81,45.98,6.6,13.34,0.63,0.09,4.03,0,-2.32,0,169.7,2.98,5.46,1.65,179.8,1374.18,6592.72,-23.52,-2.07999999999993,Low
Nov 2021,San_Juan,UKMO,High,No Change,1153.63,18.5,49.61,72.44,5.98,10.51,0.63,0.09,26.75,0,-2.92,0,1108.38,3.13,5.11,0,1116.62,1362.51,6592.24,-11.6700000000001,-0.480000000000473,Low
Dec 2021,San_Juan,UKMO,High,No Change,95.02,0.06,37.45,91.18,5.98,61.47,0.63,0.09,2.2,0,-1.03,0,92.76,2.84,5.11,0,100.72,1353.41,6615.53,-9.09999999999991,23.29,Low
Jan 2022,San_Juan,UKMO,High,No Change,807.96,9.81,37.15,49.13,5.98,5.93,0.63,0.09,18.74,0,-2.99,0,779.41,0.78,5.11,0,785.3,1293.35,6616.17,-60.0600000000002,0.640000000000327,Low
Feb 2022,San_Juan,UKMO,High,No Change,251,1.42,38.34,62.51,5.98,29.25,0.63,0.09,5.82,0,-0.97,0,243.76,1.49,5.11,0,250.35,1288.82,6631.38,-4.52999999999997,15.21,Low
Mar 2022,San_Juan,UKMO,High,No Change,721.02,8.09,50.11,58.55,5.98,4.05,0.63,0.09,16.72,0,-2.94,0,696.21,0.66,5.11,0,701.98,1260.98,6635.69,-27.8399999999999,4.30999999999949,Low
Apr 2022,San_Juan,UKMO,High,No Change,557.88,1.45,141.85,101.17,39.7,1.41,0.63,0.09,12.94,0,-1.81,0,543.49,5.64,5.11,0.83,555.07,1258.34,6648.93,-2.6400000000001,13.2400000000007,Low
May 2022,San_Juan,UKMO,High,No Change,48.9,0.05,561.42,422.22,92.89,9.86,0.63,0.09,1.13,0,16.75,0,47.72,39.46,16.22,13.28,116.67,1292.07,6658.69,33.73,9.75999999999931,Low
Jun 2022,San_Juan,UKMO,High,No Change,112.65,0.09,672.84,521.76,101.59,16.71,0.64,0.09,2.61,0,14.68,0,109.95,51.62,25.09,17.69,204.35,1359.42,6662.76,67.3500000000001,4.07000000000062,Low
Jul 2022,San_Juan,UKMO,High,No Change,554.68,5.73,139.37,101.74,52.18,18.25,0.64,0.09,12.86,0,-2.91,0,536.08,12.34,27.17,17.52,593.12,1419.75,6661.81,60.3299999999999,-0.949999999999818,Low
Aug 2022,San_Juan,UKMO,High,No Change,1124.57,16.32,72.95,95.49,34.07,42.9,0.63,0.09,26.08,0,-2.94,0,1082.16,5.55,21.07,15.26,1124.04,1427.05,6653.7,7.29999999999995,-8.11000000000058,Low
Sep 2022,San_Juan,UKMO,High,No Change,391.43,1.57,54.75,63.17,28.18,34.55,0.64,0.09,9.08,0,-3.01,0,380.78,2.53,17.69,11.68,412.68,1397.7,6661.03,-29.3499999999999,7.32999999999993,Low
Oct 2022,San_Juan,UKMO,High,No Change,59.2,0.02,36.76,38.53,10.62,15.08,0.63,0.09,1.37,0,-0.83,0,57.8,3.53,7.76,4.98,74.06,1374.18,6654.87,-23.52,-6.15999999999985,Low
Nov 2022,San_Juan,UKMO,High,No Change,366.57,2.84,45.16,52.71,5.98,10.51,0.63,0.09,8.5,0,-3.03,0,355.23,2.85,5.11,0,363.19,1362.51,6649.9,-11.6700000000001,-4.97000000000025,Low
Dec 2022,San_Juan,UKMO,High,No Change,95.86,0.06,39.13,92.87,5.98,61.47,0.63,0.09,2.22,0,-1.1,0,93.58,2.91,5.11,0,101.59,1353.41,6654.83,-9.09999999999991,4.93000000000029,Low
Jan 2023,San_Juan,UKMO,High,No Change,596.54,4.8,36.76,43.75,5.98,5.93,0.63,0.09,13.83,0,-3.02,0,577.91,0.77,5.11,0,583.79,1293.35,6655.41,-60.0600000000002,0.579999999999927,Low
Feb 2023,San_Juan,UKMO,High,No Change,373.74,2.11,42.09,68.67,5.98,29.25,0.63,0.09,8.67,0,-2.18,0,362.96,0.98,5.11,0,369.05,1288.82,6665.69,-4.52999999999997,10.2799999999997,Low
Mar 2023,San_Juan,UKMO,High,No Change,151.35,0.85,43.28,39.78,5.98,4.05,0.63,0.09,3.51,0,0.3,0,146.99,2.11,5.11,0,154.21,1260.98,6671.64,-27.8399999999999,5.95000000000073,Low
Apr 2023,San_Juan,UKMO,High,No Change,274.62,0.71,126.92,81.34,39.7,1.41,0.63,0.09,6.37,0,1.36,0,267.54,6.63,5.11,0.57,279.85,1258.34,6674.91,-2.6400000000001,3.26999999999953,Low
May 2023,San_Juan,UKMO,High,No Change,34.73,0.03,321.19,205.48,94.35,10.5,0.64,0.09,0.81,0,8.99,0,33.89,22.91,17.04,13.98,87.81,1292.07,6681.53,33.73,6.61999999999989,Low
Jun 2023,San_Juan,UKMO,High,No Change,34.25,0.03,478.57,343.38,105.98,18.62,0.64,0.09,0.79,0,10.63,0,33.43,37.23,27.58,19.09,117.33,1359.42,6676.81,67.3500000000001,-4.71999999999935,Low
Jul 2023,San_Juan,UKMO,High,No Change,413.59,1.73,213.33,161.91,57.99,20.77,0.64,0.09,9.59,0,-2.97,0,402.27,18.89,30.47,18.67,470.3,1419.75,6668.59,60.3299999999999,-8.22000000000025,Low
Aug 2023,San_Juan,UKMO,High,No Change,858.98,9.97,173.49,180.01,37.76,44.52,0.64,0.09,19.92,0,-2.99,0,829.09,13.19,23.13,15.79,881.21,1427.05,6655.99,7.29999999999995,-12.6000000000004,Low
Sep 2023,San_Juan,UKMO,High,No Change,698.52,1.11,210.06,210.44,25.63,33.44,0.64,0.09,16.2,0,-1.7,0,681.21,10.25,16.25,11.76,719.46,1397.7,6656.58,-29.3499999999999,0.590000000000146,Low
Oct 2023,San_Juan,UKMO,High,No Change,244.01,0.1,93.7,94.05,9.71,14.68,0.64,0.09,5.66,0,-1.98,0,238.25,6.7,7.24,4.7,256.88,1374.18,6658.78,-23.52,2.19999999999982,Low
Nov 2023,San_Juan,UKMO,High,No Change,244.94,0.13,72.16,74.22,5.98,10.51,0.64,0.09,5.68,0,-2.2,0,239.13,4.8,5.11,0,249.05,1362.51,6657.22,-11.6700000000001,-1.55999999999949,Low
Dec 2023,San_Juan,UKMO,High,No Change,244.13,0.14,52.48,108.03,5.98,61.47,0.64,0.09,5.66,0,-2.62,0,238.33,2.71,5.11,0,246.15,1353.41,6660.16,-9.09999999999991,2.9399999999996,Low
Jan 2024,San_Juan,UKMO,High,No Change,109.39,0.21,46.83,44.17,5.98,5.93,0.64,0.09,2.54,0,0.4,0,106.65,2.42,5.11,0,114.18,1293.35,6662.66,-60.0600000000002,2.5,Low
Feb 2024,San_Juan,UKMO,High,No Change,112.68,0.64,48.32,68.71,5.98,29.25,0.64,0.09,2.61,0,1.09,0,109.43,2.43,5.11,0,116.97,1288.82,6665.05,-4.52999999999997,2.39000000000033,Low
Mar 2024,San_Juan,UKMO,High,No Change,151.82,0.85,64.64,59.19,5.98,4.05,0.64,0.09,3.52,0,1.58,0,147.45,2.79,5.11,0,155.36,1260.98,6668.21,-27.8399999999999,3.15999999999985,Low
Apr 2024,San_Juan,UKMO,High,No Change,427.02,1.11,173.68,126.34,39.96,1.52,0.64,0.09,9.9,0,1.74,0,416.01,8.27,5.26,2.09,431.64,1258.34,6672.77,-2.6400000000001,4.5600000000004,Low
May 2024,San_Juan,UKMO,High,No Change,102.77,0.1,730.69,574.95,92.89,9.85,0.64,0.09,2.38,0,21.98,0,100.28,50.82,16.23,13.26,180.6,1292.07,6681.78,33.73,9.00999999999931,Low
Jun 2024,San_Juan,UKMO,High,No Change,282.84,0.22,530.08,396.78,99.98,16,0.64,0.09,6.56,0,9.67,0,276.07,39.87,24.2,17.55,357.68,1359.42,6692.34,67.3500000000001,10.5600000000004,Low
Jul 2024,San_Juan,UKMO,High,No Change,537.61,4.15,192.56,148.03,52.52,18.39,0.64,0.09,12.47,0,-2.49,0,520.99,17.05,27.38,17.43,582.84,1419.75,6690.47,60.3299999999999,-1.86999999999989,Low
Aug 2024,San_Juan,UKMO,High,No Change,842.57,11.45,91.04,104.86,37.73,44.5,0.64,0.09,19.54,0,-2.52,0,811.57,6.92,23.13,15.63,857.26,1427.05,6682.47,7.29999999999995,-8,Low
Sep 2024,San_Juan,UKMO,High,No Change,433.93,3.22,50.6,59.99,28.95,34.89,0.64,0.09,10.06,0,-2.57,0,420.64,2.34,18.13,12.1,453.2,1397.7,6683.31,-29.3499999999999,0.840000000000146,Low
Oct 2024,San_Juan,UKMO,High,No Change,448.52,6.41,37.15,48.67,9.41,14.56,0.64,0.09,10.4,0,-2.48,0,431.7,2.52,7.07,5.17,446.46,1374.18,6678.16,-23.52,-5.15000000000055,Low
Nov 2024,San_Juan,UKMO,High,No Change,433.33,4.18,61.57,68.91,5.98,10.51,0.64,0.09,10.05,0,-2.51,0,419.11,3.89,5.11,0,428.11,1362.51,6680.37,-11.6700000000001,2.21000000000004,Low
Dec 2024,San_Juan,UKMO,High,No Change,92.5,0.05,40.22,93.61,5.98,61.47,0.64,0.09,2.15,0,-0.73,0,90.3,2.9,5.11,0,98.31,1353.41,6687.36,-9.09999999999991,6.98999999999978,Low
Jan 2025,San_Juan,UKMO,High,No Change,402.29,3.27,39.52,44.39,5.98,5.93,0.64,0.09,9.33,0,-2.48,0,389.69,0.83,5.11,0,395.64,1293.35,6688.23,-60.0600000000002,0.869999999999891,Low
Feb 2025,San_Juan,UKMO,High,No Change,242.21,1.37,42.38,66.5,5.98,29.25,0.64,0.09,5.62,0,-0.83,0,235.22,1.35,5.12,0,241.68,1288.82,6694.53,-4.52999999999997,6.30000000000018,Low
Mar 2025,San_Juan,UKMO,High,No Change,92.09,0.51,68.78,61.55,5.98,4.05,0.64,0.09,2.14,0,2.6,0,89.44,3.22,5.12,0,97.78,1260.98,6698.77,-27.8399999999999,4.24000000000069,Low
Apr 2025,San_Juan,UKMO,High,No Change,503.25,1.31,209.37,160.63,39.71,1.41,0.64,0.09,11.67,0,2.11,0,490.27,9.64,5.12,0.6,505.63,1258.34,6702.97,-2.6400000000001,4.19999999999982,Low
May 2025,San_Juan,UKMO,High,No Change,396.75,0.39,255.75,157.27,88.9,8.13,0.64,0.09,9.2,0,2.22,0,387.16,15.88,13.97,12.54,429.55,1292.07,6715.6,33.73,12.6300000000001,Low
Jun 2025,San_Juan,UKMO,High,No Change,443.97,0.34,152.92,62.15,98.57,15.39,0.65,0.09,10.3,0,-1.98,0,433.33,9.9,23.41,17.6,484.24,1359.42,6713.93,67.3500000000001,-1.67000000000007,Low
Jul 2025,San_Juan,UKMO,High,No Change,793.91,12.83,53.06,31.12,49.06,16.9,0.65,0.09,18.41,0,-2.09,0,762.67,4.7,25.41,17.37,810.15,1419.75,6704.1,60.3299999999999,-9.82999999999993,Low
Aug 2025,San_Juan,UKMO,High,No Change,297.48,1.18,75.4,77.21,42.24,46.47,0.65,0.09,6.9,0,-2.14,0,289.41,5.73,25.68,15.39,336.21,1427.05,6702.51,7.29999999999995,-1.59000000000015,Low
