Date,WPR,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,Northwest,NCAR,Low,Low,24.6,0,0,0.22,0.04,0.15,1.7,0.05,0.04,0,-0.11,0,24.56,0,1.55,0,26.11,0,-719.32,0,0,Low
Feb 2016,Northwest,NCAR,Low,Low,348.02,1.02,0,1.34,0.04,0.15,1.7,0.05,0.51,0,-0.22,0,346.49,0,1.55,0,348.04,0,-721.05,0,-1.7299999999999,Low
Mar 2016,Northwest,NCAR,Low,Low,157.82,0.45,0,0.78,0.04,0.15,1.7,0.05,0.23,0,-0.22,0,157.14,0,1.55,0,158.69,0,-722.41,0,-1.36000000000001,Low
Apr 2016,Northwest,NCAR,Low,Low,174.25,0.53,0,0.86,0.04,0.15,1.7,0.05,0.26,0,-0.22,0,173.46,0,1.55,0,175.01,0,-724.06,0,-1.64999999999998,Low
May 2016,Northwest,NCAR,Low,Low,18.76,0,0,0.23,0.07,0.19,1.79,0.06,0.03,0,-0.11,0,18.73,0,1.62,0.57,20.92,0,-725.68,0,-1.62,Low
Jun 2016,Northwest,NCAR,Low,Low,239.64,0.57,0,0.9,0.13,0.24,1.87,0.07,0.35,0,-0.22,0,238.72,0,1.69,1.01,241.43,0,-728.08,0,-2.40000000000009,Low
Jul 2016,Northwest,NCAR,Low,Low,861.73,2.48,0,2.8,0.11,0.21,1.83,0.06,1.27,0,-0.22,0,857.97,0.01,1.66,0.93,860.57,0,-730.76,0,-2.67999999999995,Low
Aug 2016,Northwest,NCAR,Low,Low,898.82,2.59,0,2.9,0.09,0.2,1.81,0.06,1.33,0,-0.22,0,894.9,0.01,1.64,0.79,897.34,0,-732.41,0,-1.64999999999998,Low
Sep 2016,Northwest,NCAR,Low,Low,1610.2,4.89,0,5.2,0.06,0.17,1.74,0.05,2.38,0,-0.21,0,1602.93,0.01,1.58,0.61,1605.14,0,-733.83,0,-1.42000000000007,Low
Oct 2016,Northwest,NCAR,Low,Low,289.84,0.9,0,1.23,0.04,0.15,1.71,0.05,0.43,0,-0.22,0,288.52,0,1.55,0.02,290.09,0,-733.97,0,-0.139999999999986,Low
Nov 2016,Northwest,NCAR,Low,Low,70.39,0.06,0,0.4,0.04,0.15,1.71,0.05,0.1,0,-0.23,0,70.23,0,1.55,0,71.78,0,-735.45,0,-1.48000000000002,Low
Dec 2016,Northwest,NCAR,Low,Low,241.08,0.68,0,1.02,0.04,0.15,1.71,0.05,0.36,0,-0.23,0,240.04,0,1.55,0,241.59,0,-737.23,0,-1.77999999999997,Low
Jan 2017,Northwest,NCAR,Low,Low,374.75,1.05,0,1.39,0.04,0.15,1.71,0.05,0.55,0,-0.23,0,373.15,0,1.55,0,374.7,0,-738.76,0,-1.52999999999997,Low
Feb 2017,Northwest,NCAR,Low,Low,180.87,0.41,0,0.75,0.04,0.15,1.71,0.05,0.27,0,-0.23,0,180.19,0,1.55,0,181.75,0,-740.1,0,-1.34000000000003,Low
Mar 2017,Northwest,NCAR,Low,Low,324.41,0.98,0,1.32,0.04,0.15,1.71,0.05,0.48,0,-0.23,0,322.96,0,1.56,0,324.51,0,-741.73,0,-1.63,Low
Apr 2017,Northwest,NCAR,Low,Low,32.18,0.01,0,0.3,0.04,0.15,1.71,0.05,0.05,0,-0.18,0,32.12,0,1.56,0.01,33.69,0,-743.15,0,-1.41999999999996,Low
May 2017,Northwest,NCAR,Low,Low,31.49,0,0,0.23,0.08,0.21,1.87,0.06,0.05,0,-0.1,0,31.44,0,1.68,0.86,33.98,0,-744.95,0,-1.80000000000007,Low
Jun 2017,Northwest,NCAR,Low,Low,79.67,0.07,0,0.42,0.11,0.23,1.89,0.07,0.12,0,-0.23,0,79.49,0,1.7,0.98,82.17,0,-747.67,0,-2.71999999999991,Low
Jul 2017,Northwest,NCAR,Low,Low,852.09,2.55,0,2.88,0.11,0.22,1.84,0.06,1.26,0,-0.23,0,848.28,0.01,1.67,0.94,850.9,0,-750.58,0,-2.91000000000008,Low
Aug 2017,Northwest,NCAR,Low,Low,1069.92,3.28,0,3.61,0.09,0.2,1.81,0.06,1.58,0,-0.24,0,1065.06,0.01,1.64,0.79,1067.5,0,-752.27,0,-1.68999999999994,Low
Sep 2017,Northwest,NCAR,Low,Low,36.22,0.01,0,0.29,0.08,0.21,1.86,0.06,0.05,0,-0.15,0,36.16,0,1.67,0.67,38.51,0,-753.47,0,-1.20000000000005,Low
Oct 2017,Northwest,NCAR,Low,Low,825.29,2.4,0,2.75,0.04,0.15,1.72,0.05,1.22,0,-0.24,0,821.67,0,1.56,0.02,823.26,0,-756.04,0,-2.56999999999994,Low
Nov 2017,Northwest,NCAR,Low,Low,82.5,0.09,0,0.45,0.04,0.15,1.72,0.05,0.12,0,-0.25,0,82.29,0,1.56,0,83.85,0,-756.76,0,-0.720000000000027,Low
Dec 2017,Northwest,NCAR,Low,Low,266.09,0.62,0,0.98,0.04,0.15,1.72,0.05,0.39,0,-0.25,0,265.07,0,1.56,0,266.64,0,-758.55,0,-1.78999999999996,Low
Jan 2018,Northwest,NCAR,Low,Low,635.81,1.92,0,2.28,0.04,0.15,1.72,0.05,0.94,0,-0.25,0,632.94,0,1.56,0,634.51,0,-760.08,0,-1.53000000000009,Low
Feb 2018,Northwest,NCAR,Low,Low,820.33,2.74,0,3.1,0.04,0.15,1.72,0.05,1.21,0,-0.26,0,816.38,0,1.56,0,817.94,0,-761.06,0,-0.979999999999905,Low
Mar 2018,Northwest,NCAR,Low,Low,623.48,2.1,0,2.46,0.04,0.15,1.72,0.05,0.92,0,-0.26,0,620.46,0,1.56,0,622.03,0,-761.78,0,-0.720000000000027,Low
Apr 2018,Northwest,NCAR,Low,Low,499.81,1.69,0,2.06,0.04,0.15,1.72,0.05,0.74,0,-0.27,0,497.38,0.01,1.56,0,498.95,0,-762.79,0,-1.00999999999999,Low
May 2018,Northwest,NCAR,Low,Low,630.89,1.74,0,2.12,0.08,0.19,1.81,0.06,0.93,0,-0.27,0,628.21,0.01,1.64,0.72,630.58,0,-763.99,0,-1.20000000000005,Low
Jun 2018,Northwest,NCAR,Low,Low,235.9,0.48,0,0.87,0.12,0.24,1.89,0.07,0.35,0,-0.27,0,235.07,0,1.71,1,237.77,0,-765.8,0,-1.80999999999995,Low
Jul 2018,Northwest,NCAR,Low,Low,935.46,2.65,0,3.03,0.11,0.22,1.85,0.06,1.38,0,-0.28,0,931.42,0.01,1.68,0.97,934.07,0,-768.54,0,-2.74000000000001,Low
Aug 2018,Northwest,NCAR,Low,Low,781.46,2.25,0,2.62,0.1,0.21,1.84,0.06,1.16,0,-0.27,0,778.06,0.01,1.66,0.8,780.52,0,-770.19,0,-1.65000000000009,Low
Sep 2018,Northwest,NCAR,Low,Low,155.85,0.18,0,0.57,0.11,0.22,1.86,0.06,0.23,0,-0.28,0,155.44,0,1.69,0.69,157.81,0,-771.87,0,-1.67999999999995,Low
Oct 2018,Northwest,NCAR,Low,Low,389.27,0.93,0,1.31,0.04,0.16,1.74,0.05,0.58,0,-0.28,0,387.77,0,1.58,0.11,389.45,0,-774.41,0,-2.53999999999996,Low
Nov 2018,Northwest,NCAR,Low,Low,663.87,2.12,0,2.5,0.04,0.15,1.73,0.05,0.98,0,-0.28,0,660.77,0,1.57,0,662.35,0,-775.9,0,-1.49000000000001,Low
Dec 2018,Northwest,NCAR,Low,Low,40.55,0,0,0.3,0.04,0.15,1.73,0.05,0.06,0,-0.18,0,40.48,0,1.57,0,42.06,0,-776.88,0,-0.980000000000018,Low
Jan 2019,Northwest,NCAR,Low,Low,548.82,1.58,0,1.97,0.04,0.15,1.73,0.05,0.81,0,-0.28,0,546.42,0,1.57,0,547.99,0,-778.68,0,-1.79999999999995,Low
