date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,30.97,0.06,32.63,133.43,5.52,109.1,0.53,0.09,0.72,0,0.07,0,30.2,2.78,4.77,0.0,37.75,1396.75,6358.59,0.0,0.0
Feb 2016,393.85,2.22,34.22,62.01,5.52,29.02,0.53,0.09,9.13,0,-3.12,0,382.49,1.05,4.78,0.0,388.32,1288.82,6358.95,-107.93,0.35999999999967297
Mar 2016,236.56,1.32,44.26,43.55,5.52,3.82,0.53,0.09,5.49,0,-1.56,0,229.75,1.9,4.78,0.0,236.42,1260.98,6364.53,-27.8399999999999,5.57999999999993
Apr 2016,330.49,0.86,79.87,40.18,39.45,1.26,0.53,0.09,7.66,0,-1.73,0,321.97,4.09,4.89,1.49,332.45,1258.34,6368.02,-2.6400000000001,3.4900000000006903
May 2016,80.3,0.08,118.59,21.48,99.03,12.48,0.53,0.09,1.86,0,1.52,0,78.36,9.11,19.64,13.33,120.44,1292.07,6372.02,33.73,4.0
Jun 2016,209.46,0.16,48.39,21.86,51.03,26.1,0.54,0.09,4.86,0,-2.3,0,204.44,4.06,30.55,17.67,256.71,1359.42,6361.64,67.35000000000011,-10.3800000000001
Jul 2016,756.09,7.72,35.82,32.96,54.63,43.03,0.53,0.09,17.53,0,-4.19,0,730.83,3.17,32.66,17.23,783.89,1354.25,6346.09,-5.17000000000007,-15.5500000000002
Aug 2016,753.4,7.84,33.5,29.43,44.52,30.93,0.53,0.09,17.47,0,-4.23,0,728.08,2.55,26.92,14.46,772.01,1333.63,6341.76,-20.619999999999898,-4.32999999999993
Sep 2016,1293.11,20.45,28.41,33.89,26.47,8.54,0.53,0.09,29.99,0,-4.28,0,1242.68,1.31,14.43,11.07,1269.49,1320.74,6340.11,-12.8900000000001,-1.6500000000005501
Oct 2016,490.66,7.45,29.08,13.42,26.95,1.61,0.53,0.09,11.38,0,-4.2,0,471.82,1.97,5.36,3.0,482.15,1324.68,6354.31,3.94000000000005,14.2000000000007
Nov 2016,127.68,0.07,30.25,16.89,13.83,1.18,0.53,0.09,2.96,0,-2.13,0,124.65,2.9,4.78,0.0,132.33,1345.1,6358.06,20.4199999999998,3.75
Dec 2016,359.97,2.72,29.21,90.39,5.53,61.24,0.53,0.09,8.35,0,-4.24,0,348.9,1.49,4.78,0.0,355.17,1353.41,6358.45,8.310000000000171,0.389999999999418
Jan 2017,409.55,1.41,28.95,34.2,5.53,5.7,0.53,0.09,9.5,0,-4.27,0,398.64,0.61,4.78,0.0,404.03,1293.35,6362.12,-60.0600000000002,3.6700000000000697
Feb 2017,154.19,0.87,30.74,53.86,5.53,29.02,0.53,0.09,3.58,0,-0.81,0,149.74,2.06,4.78,0.0,156.58,1288.82,6366.92,-4.529999999999969,4.800000000000179
Mar 2017,255.84,1.43,33.75,33.81,5.53,3.83,0.53,0.09,5.93,0,-1.86,0,248.48,1.53,4.78,0.0,254.79,1260.98,6369.24,-27.8399999999999,2.31999999999971
Apr 2017,90.34,0.23,71.54,27.61,40.21,1.59,0.53,0.09,2.1,0,0.68,0,88.01,4.87,5.33,2.21,100.42,1258.34,6372.88,-2.6400000000001,3.64000000000033
May 2017,28.14,0.03,133.54,31.92,102.95,14.2,0.53,0.09,0.65,0,2.55,0,27.46,10.34,21.84,14.68,74.32,1292.07,6373.01,33.73,0.130000000000109
