date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,7.53,0.0,0,0,0.06,0.14,0.35,0.0,0.04,0,0.08,0,7.49,0,0.27,0.0,7.76,0,-1916.22,0,0.0
Feb 2016,173.76,0.0,0,0,0.06,0.14,0.35,0.0,0.83,0,0.08,0,172.92,0,0.27,0.0,173.19,0,-1916.46,0,-0.24000000000000898
Mar 2016,22.29,0.0,0,0,0.06,0.14,0.35,0.0,0.11,0,0.08,0,22.19,0,0.27,0.0,22.46,0,-1915.89,0,0.569999999999936
Apr 2016,113.24,0.0,0,0,0.09,0.32,1.03,0.06,0.54,0,0.23,0,112.69,0,0.74,0.24,113.67,0,-1916.06,0,-0.169999999999845
May 2016,33.97,0.01,0,0,3.02,4.52,17.12,2.86,0.16,0,1.51,0,33.8,0,12.76,2.94,49.51,0,-1916.49,0,-0.430000000000064
Jun 2016,195.63,0.03,0,0,3.05,4.64,17.54,2.9,0.94,0,1.62,0,194.66,0,13.05,3.56,211.27,0,-1932.03,0,-15.54
Jul 2016,588.32,0.11,0,0,1.87,3.0,11.28,1.79,2.82,0,1.23,0,585.4,0,8.35,3.33,597.08,0,-1947.67,0,-15.6400000000001
Aug 2016,585.56,0.08,0,0,1.38,2.43,9.09,1.36,2.81,0,1.12,0,582.68,0,6.68,2.84,592.21,0,-1956.43,0,-8.759999999999991
Sep 2016,678.04,0.1,0,0,0.97,1.47,5.44,0.87,3.25,0,0.6,0,674.69,0,4.07,2.26,681.02,0,-1963.08,0,-6.649999999999861
Oct 2016,31.26,0.0,0,0,0.64,1.44,5.3,0.67,0.15,0,0.81,0,31.11,0,3.83,0.8,35.73,0,-1966.06,0,-2.9800000000000204
Nov 2016,49.91,0.0,0,0,0.06,0.14,0.35,0.0,0.24,0,0.08,0,49.67,0,0.27,0.0,49.94,0,-1970.53,0,-4.470000000000031
Dec 2016,33.24,0.0,0,0,0.06,0.14,0.35,0.0,0.16,0,0.08,0,33.08,0,0.27,0.0,33.35,0,-1970.56,0,-0.0299999999999727
Jan 2017,135.61,0.0,0,0,0.06,0.14,0.35,0.0,0.65,0,0.08,0,134.96,0,0.27,0.0,135.23,0,-1970.67,0,-0.110000000000127
Feb 2017,70.6,0.0,0,0,0.06,0.14,0.35,0.0,0.34,0,0.08,0,70.26,0,0.27,0.0,70.53,0,-1970.29,0,0.38000000000010903
Mar 2017,46.1,0.0,0,0,0.06,0.14,0.35,0.0,0.22,0,0.08,0,45.88,0,0.27,0.0,46.15,0,-1970.23,0,0.0599999999999454
Apr 2017,8.98,0.0,0,0,0.14,0.4,1.33,0.11,0.04,0,0.26,0,8.94,0,0.96,0.44,10.34,0,-1970.28,0,-0.0499999999999545
May 2017,93.09,0.02,0,0,3.02,4.35,16.45,2.81,0.45,0,1.34,0,92.62,0,12.31,3.03,107.96,0,-1971.64,0,-1.36000000000013
Jun 2017,228.84,0.04,0,0,2.94,4.37,16.54,2.77,1.1,0,1.47,0,227.71,0,12.33,3.51,243.55,0,-1986.51,0,-14.8699999999999
Jul 2017,424.77,0.08,0,0,2.46,3.76,14.18,2.33,2.04,0,1.37,0,422.66,0,10.55,3.4,436.61,0,-2001.22,0,-14.71
