date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,261.76,0.69,0,0.98,0.03,0.1,1.37,0.05,0.39,0,-0.22,0,260.68,0.0,1.25,0.0,261.93,0,-703.27,0,0.0
Feb 2016,259.4,0.68,0,0.97,0.03,0.1,1.37,0.05,0.38,0,-0.23,0,258.34,0.0,1.25,0.0,259.59,0,-704.43,0,-1.15999999999997
Mar 2016,230.16,0.71,0,1.01,0.03,0.1,1.37,0.05,0.34,0,-0.23,0,229.1,0.0,1.26,0.0,230.36,0,-705.59,0,-1.16000000000008
Apr 2016,68.75,0.06,0,0.35,0.03,0.1,1.37,0.05,0.1,0,-0.23,0,68.6,0.0,1.26,0.01,69.86,0,-706.8,0,-1.20999999999992
May 2016,4.86,0.0,0,0.18,0.05,0.18,1.63,0.06,0.01,0,-0.04,0,4.85,0.0,1.43,0.83,7.11,0,-708.27,0,-1.4700000000000302
Jun 2016,126.66,0.23,0,0.54,0.16,0.24,1.66,0.08,0.19,0,-0.23,0,126.24,0.0,1.5,1.0,128.74,0,-710.69,0,-2.4200000000000697
Jul 2016,668.26,1.95,0,2.24,0.18,0.24,1.63,0.08,0.99,0,-0.23,0,665.33,0.01,1.48,1.02,667.83,0,-713.32,0,-2.63
Aug 2016,839.08,2.4,0,2.68,0.14,0.21,1.56,0.07,1.24,0,-0.22,0,835.44,0.01,1.43,0.84,837.71,0,-715.12,0,-1.7999999999999499
Sep 2016,1073.0,3.15,0,3.43,0.1,0.16,1.49,0.06,1.59,0,-0.22,0,1068.26,0.01,1.36,0.64,1070.26,0,-716.43,0,-1.3099999999999499
Oct 2016,1019.02,2.93,0,3.22,0.03,0.1,1.37,0.05,1.51,0,-0.22,0,1014.58,0.01,1.26,0.02,1015.87,0,-717.12,0,-0.690000000000055
Nov 2016,360.71,1.08,0,1.38,0.03,0.1,1.37,0.05,0.53,0,-0.23,0,359.09,0.0,1.26,0.0,360.35,0,-717.18,0,-0.0599999999999454
