date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,274.15,0.73,0,1.04,0.03,0.12,1.55,0.05,0.41,0,-0.22,0,273.02,0.0,1.41,0.0,274.44,0,-711.44,0,0.0
Feb 2016,58.64,0.04,0,0.36,0.03,0.12,1.55,0.05,0.09,0,-0.22,0,58.51,0.0,1.41,0.0,59.93,0,-712.76,0,-1.3199999999999399
Mar 2016,244.43,0.75,0,1.06,0.03,0.12,1.55,0.05,0.36,0,-0.22,0,243.32,0.0,1.41,0.0,244.74,0,-714.4,0,-1.63999999999999
Apr 2016,25.57,0.01,0,0.25,0.04,0.13,1.55,0.05,0.04,0,-0.16,0,25.52,0.0,1.42,0.01,26.96,0,-715.76,0,-1.36000000000001
May 2016,111.44,0.22,0,0.53,0.14,0.23,1.73,0.07,0.16,0,-0.23,0,111.06,0.0,1.58,0.74,113.37,0,-717.4,0,-1.63999999999999
Jun 2016,25.04,0.0,0,0.25,0.06,0.2,1.79,0.06,0.04,0,-0.11,0,25.0,0.0,1.58,0.96,27.55,0,-719.86,0,-2.46000000000004
Jul 2016,1098.25,3.26,0,3.56,0.12,0.21,1.7,0.07,1.62,0,-0.22,0,1093.37,0.01,1.55,0.94,1095.88,0,-722.62,0,-2.7599999999999905
Aug 2016,1100.22,3.28,0,3.58,0.11,0.19,1.68,0.06,1.63,0,-0.22,0,1095.31,0.01,1.53,0.8,1097.65,0,-723.8,0,-1.17999999999995
Sep 2016,1070.15,3.23,0,3.52,0.09,0.18,1.65,0.06,1.58,0,-0.22,0,1065.34,0.01,1.5,0.63,1067.48,0,-724.81,0,-1.00999999999999
Oct 2016,379.46,1.07,0,1.38,0.04,0.13,1.56,0.05,0.56,0,-0.22,0,377.83,0.0,1.43,0.05,379.31,0,-725.67,0,-0.860000000000014
Nov 2016,806.09,2.63,0,2.94,0.04,0.13,1.56,0.05,1.19,0,-0.23,0,802.27,0.0,1.42,0.0,803.69,0,-726.9,0,-1.23000000000002
Dec 2016,101.96,0.15,0,0.48,0.04,0.13,1.56,0.05,0.15,0,-0.23,0,101.66,0.0,1.42,0.0,103.08,0,-727.44,0,-0.5400000000000771
Jan 2017,618.94,1.88,0,2.2,0.04,0.13,1.56,0.05,0.92,0,-0.24,0,616.15,0.0,1.42,0.0,617.57,0,-729.04,0,-1.59999999999991
Feb 2017,352.97,0.98,0,1.31,0.04,0.13,1.56,0.05,0.52,0,-0.24,0,351.47,0.0,1.42,0.0,352.9,0,-729.88,0,-0.840000000000032
Mar 2017,773.35,2.48,0,2.81,0.04,0.13,1.56,0.05,1.14,0,-0.24,0,769.72,0.01,1.43,0.0,771.15,0,-731.11,0,-1.23000000000002
Apr 2017,219.04,0.65,0,0.99,0.04,0.13,1.56,0.05,0.32,0,-0.25,0,218.07,0.0,1.43,0.0,219.5,0,-731.72,0,-0.610000000000014
May 2017,195.01,0.49,0,0.83,0.07,0.16,1.63,0.05,0.29,0,-0.25,0,194.24,0.0,1.48,0.33,196.05,0,-733.17,0,-1.44999999999993
Jun 2017,219.16,0.47,0,0.8,0.15,0.24,1.78,0.07,0.32,0,-0.25,0,218.37,0.0,1.61,0.93,220.91,0,-735.03,0,-1.86000000000001
Jul 2017,1043.33,3.05,0,3.38,0.12,0.21,1.71,0.07,1.54,0,-0.25,0,1038.74,0.01,1.56,0.91,1041.21,0,-737.58,0,-2.5500000000000695
Aug 2017,1044.44,3.09,0,3.43,0.11,0.2,1.7,0.06,1.55,0,-0.26,0,1039.8,0.01,1.55,0.82,1042.18,0,-738.85,0,-1.26999999999998
Sep 2017,735.66,2.13,0,2.48,0.1,0.19,1.69,0.06,1.09,0,-0.26,0,732.44,0.01,1.54,0.64,734.62,0,-740.02,0,-1.16999999999996
Oct 2017,818.89,2.46,0,2.81,0.04,0.13,1.57,0.05,1.21,0,-0.27,0,815.23,0.0,1.43,0.0,816.66,0,-741.46,0,-1.4400000000000501
Nov 2017,283.11,0.81,0,1.17,0.04,0.13,1.57,0.05,0.42,0,-0.27,0,281.88,0.0,1.43,0.0,283.31,0,-742.04,0,-0.579999999999927
Dec 2017,111.29,0.09,0,0.46,0.04,0.13,1.57,0.05,0.16,0,-0.28,0,111.03,0.0,1.43,0.0,112.47,0,-743.41,0,-1.37
Jan 2018,344.22,0.87,0,1.23,0.04,0.13,1.57,0.05,0.51,0,-0.28,0,342.85,0.0,1.43,0.0,344.28,0,-745.05,0,-1.63999999999999
Feb 2018,200.02,0.41,0,0.78,0.04,0.13,1.57,0.05,0.3,0,-0.28,0,199.32,0.0,1.44,0.0,200.75,0,-746.35,0,-1.30000000000007
Mar 2018,815.17,2.74,0,3.1,0.04,0.13,1.57,0.05,1.21,0,-0.28,0,811.23,0.01,1.44,0.0,812.67,0,-747.86,0,-1.5099999999999898
Apr 2018,180.56,0.43,0,0.81,0.04,0.13,1.57,0.05,0.27,0,-0.29,0,179.86,0.0,1.44,0.0,181.3,0,-748.46,0,-0.600000000000023
May 2018,230.72,0.5,0,0.88,0.08,0.17,1.66,0.06,0.34,0,-0.29,0,229.88,0.0,1.51,0.43,231.82,0,-750.01,0,-1.5499999999999499
Jun 2018,239.13,0.5,0,0.88,0.15,0.24,1.78,0.07,0.35,0,-0.29,0,238.27,0.0,1.61,0.91,240.8,0,-751.98,0,-1.9700000000000302
Jul 2018,985.45,2.85,0,3.22,0.13,0.22,1.74,0.07,1.46,0,-0.29,0,981.14,0.01,1.58,0.94,983.67,0,-754.53,0,-2.54999999999995
Aug 2018,360.89,0.81,0,1.18,0.15,0.24,1.77,0.07,0.53,0,-0.29,0,359.54,0.0,1.61,0.83,361.98,0,-755.98,0,-1.4500000000000501
