date,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 2016,16.15,0,0,0,0,0.55,2.09,0.05,0.0,0,0.55,0,16.15,0,1.48,0.0,17.63,0,-5223.23,0,0.0
Feb 2016,1.48,0,0,0,0,0.55,2.1,0.06,0.0,0,0.55,0,1.48,0,1.49,0.0,2.97,0,-5224.71,0,-1.48000000000047
Mar 2016,44.47,0,0,0,0,0.55,12.47,3.04,0.0,0,0.55,0,44.47,0,8.87,0.01,53.35,0,-5226.2,0,-1.4899999999997802
Apr 2016,13.02,0,0,0,0,0.55,17.46,4.48,0.0,0,0.55,0,13.02,0,12.43,0.02,25.47,0,-5235.09,0,-8.890000000000331
May 2016,87.63,0,0,0,0,0.55,18.84,4.87,0.0,0,0.55,0,87.63,0,13.41,0.02,101.06,0,-5247.53,0,-12.4399999999996
Jun 2016,15.88,0,0,0,0,0.55,23.62,6.25,0.0,0,0.55,0,15.88,0,16.82,0.03,32.72,0,-5260.96,0,-13.4300000000003
Jul 2016,738.87,0,0,0,0,0.55,12.63,3.09,0.03,0,0.55,0,738.84,0,8.99,0.02,747.85,0,-5277.81,0,-16.8500000000004
Aug 2016,354.17,0,0,0,0,0.55,16.26,4.13,0.01,0,0.55,0,354.15,0,11.58,0.02,365.75,0,-5286.79,0,-8.97999999999956
Sep 2016,281.0,0,0,0,0,0.55,14.96,3.76,0.01,0,0.55,0,280.99,0,10.65,0.02,291.66,0,-5298.38,0,-11.5900000000001
Oct 2016,129.9,0,0,0,0,0.55,13.06,3.21,0.01,0,0.55,0,129.9,0,9.3,0.01,139.21,0,-5309.03,0,-10.649999999999599
Nov 2016,200.38,0,0,0,0,0.55,2.37,0.14,0.01,0,0.55,0,200.37,0,1.69,0.0,202.06,0,-5318.34,0,-9.3100000000004
Dec 2016,17.27,0,0,0,0,0.55,2.08,0.05,0.0,0,0.55,0,17.27,0,1.48,0.0,18.75,0,-5320.02,0,-1.68000000000029
Jan 2017,154.98,0,0,0,0,0.55,2.08,0.05,0.01,0,0.55,0,154.98,0,1.48,0.0,156.45,0,-5321.5,0,-1.4799999999995601
Feb 2017,100.22,0,0,0,0,0.55,2.08,0.05,0.0,0,0.55,0,100.22,0,1.48,0.0,101.69,0,-5322.97,0,-1.47000000000025
Mar 2017,339.11,0,0,0,0,0.55,2.11,0.06,0.01,0,0.55,0,339.1,0,1.5,0.0,340.6,0,-5324.44,0,-1.46999999999935
Apr 2017,103.78,0,0,0,0,0.55,14.97,3.76,0.0,0,0.55,0,103.77,0,10.66,0.02,114.45,0,-5325.93,0,-1.4900000000006899
May 2017,735.9,0,0,0,0,0.55,9.29,2.13,0.03,0,0.55,0,735.87,0,6.62,0.02,742.51,0,-5336.6,0,-10.6700000000001
Jun 2017,429.68,0,0,0,0,0.55,16.47,4.2,0.02,0,0.55,0,429.66,0,11.73,0.02,441.41,0,-5343.21,0,-6.60999999999967
Jul 2017,843.41,0,0,0,0,0.55,11.5,2.77,0.03,0,0.55,0,843.37,0,8.19,0.02,851.58,0,-5354.94,0,-11.729999999999599
Aug 2017,603.42,0,0,0,0,0.55,13.24,3.27,0.02,0,0.55,0,603.39,0,9.43,0.02,612.84,0,-5363.12,0,-8.18000000000029
Sep 2017,548.48,0,0,0,0,0.55,10.83,2.57,0.02,0,0.55,0,548.46,0,7.71,0.02,556.18,0,-5372.55,0,-9.43000000000029
Oct 2017,668.4,0,0,0,0,0.55,3.24,0.39,0.03,0,0.55,0,668.37,0,2.31,0.01,670.68,0,-5380.25,0,-7.69999999999982
